title,author,genre_1,genre_2,brank,rate,count
해리 포터와 비밀의 방 1(해리포터 20주년 개정판),J. K. 롤링,"소설, 소설, 소설, 소설, ","영미소설, 판타지소설, 영미소설, 드라마/영화소설, 장르소설, 판타지소설, 장르소설, 드라마/영화소설, ",214,9.84,155
일의 기쁨과 슬픔,장류진,"소설, ","한국소설, 한국소설일반, ",215,9.34,527
사랑의 이해,이혁진,"소설, ","한국소설, 한국소설일반, ",216,9.21,108
7년의 밤,정유정,"소설, 소설, ","한국소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",217,9.35,961
페스트,알베르 카뮈,"소설, 소설, 소설, ","프랑스소설, 고전소설/문학선, 고전소설/문학선, 프랑스고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",218,9.5,649
변신 시골의사,프란츠 카프카,"소설, 소설, 소설, ","독일소설, 고전소설/문학선, 고전소설/문학선, 독일고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",220,9.28,172
햄릿,셰익스피어,"소설, 소설, 소설, ","영미소설, 고전소설/문학선, 고전소설/문학선, 영미고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",221,9.29,136
인생,위화,"소설, ","중국소설, 중국소설일반, ",222,9.53,154
용왕이 하는 일! 16(화집 부속 특별판),시라토리 시로,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",223,10.0,1
패밀리 트리,오가와 이토,"소설, ","일본소설, 일본소설일반, ",224,8.33,2
밤 소나기,향기바람이,,,225,10.0,3
경청,김혜진,"소설, ","한국소설, 한국소설일반, ",229,9.2,21
"당신, 거기 있어 줄래요?",기욤 뮈소,"소설, 소설, 소설, ","프랑스소설, 프랑스소설일반, 프랑스소설, 드라마/영화소설, 장르소설, 드라마/영화소설, ",230,9.58,32
아홉수 가위,범유진,"소설, ","한국소설, 한국소설일반, ",231,9.92,44
내가 되는 꿈,최진영,"소설, ","한국소설, 한국소설일반, ",232,10.0,60
