title,author,genre_1,genre_2,brank,rate,count
해리 포터와 마법사의 돌 2(해리포터 20주년 개정판),J. K. 롤링,"소설, 소설, 소설, 소설, ","영미소설, 판타지소설, 영미소설, 드라마/영화소설, 장르소설, 판타지소설, 장르소설, 드라마/영화소설, ",143,9.77,220.0
지구에서 한아뿐,정세랑,"소설, 소설, ","한국소설, 로맨스소설, 장르소설, 로맨스소설, ",144,9.56,541.0
해가 지는 곳으로,최진영,"소설, ","한국소설, 한국소설일반, ",145,9.55,136.0
참을 수 없는 존재의 가벼움,밀란 쿤데라,"소설, 소설, ","그외유럽소설, 그외유럽소설, 고전소설/문학선, 고전소설/문학선일반, ",39,9.57,819.0
변론의 법칙,마이클 코넬리,"소설, ","영미소설, 미스터리/스릴러소설, ",148,9.9,20.0
"고양이 식당, 행복을 요리합니다",다카하시 유타,"소설, ","일본소설, 일본소설일반, ",149,9.89,19.0
중급 한국어,문지혁,"소설, ","한국소설, 한국소설일반, ",150,9.67,22.0
왜 나는 너를 사랑하는가(70만 부 기념 리커버),알랭 드 보통,"소설, ","영미소설, 영미소설일반, ",51,9.73,46.0
여름의 빌라,백수린,"소설, ","한국소설, 한국소설일반, ",52,9.56,227.0
작별인사,김영하,"소설, ","한국소설, 한국소설일반, ",53,9.51,844.0
이끼숲,천선란,"소설, ","한국소설, 한국소설일반, ",54,9.86,47.0
당신의 남자를 죽여드립니다,엘 코시마노,"소설, ","영미소설, 영미소설일반, ",55,9.83,39.0
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,"소설, ","일본소설, 일본소설일반, ",56,9.45,769.0
나미야 잡화점의 기적(무선 보급판),히가시노 게이고,"소설, ","일본소설, 일본소설일반, ",57,9.57,59.0
"칵테일, 러브, 좀비 (리커버)",조예은,"소설, 소설, 소설, 소설, ","한국소설, 공포/호러소설, 한국소설, 미스터리/스릴러소설, 장르소설, 공포/호러소설, 장르소설, 미스터리/스릴러소설, ",58,9.65,209.0
여름은 오래 그곳에 남아,마쓰이에 마사시,"소설, ","일본소설, 일본소설일반, ",59,9.58,256.0
"어느 날, 내 죽음에 네가 들어왔다",세이카 료겐,"소설, ","일본소설, 일본소설일반, ",60,9.52,184.0
"어서 오세요, 휴남동 서점입니다",황보름,"소설, ","한국소설, 한국소설일반, ",61,9.69,825.0
지구 끝의 온실,김초엽,"소설, ","한국소설, 한국소설일반, ",62,9.72,484.0
홍학의 자리,정해연,"소설, 소설, ","한국소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",63,9.75,141.0
이토록 평범한 미래,김연수,"소설, ","한국소설, 한국소설일반, ",65,9.51,552.0
디 에센셜: 죄와 벌,표도르 도스토옙스키,"소설, 소설, ","러시아소설, 고전소설/문학선, 고전소설/문학선, 러시아고전소설/문학선, ",66,9.8,157.0
달러구트 꿈 백화점 2,이미예,"소설, 소설, ","한국소설, 판타지소설, 장르소설, 판타지소설, ",67,9.78,930.0
밝은 밤,최은영,"소설, ","한국소설, 한국소설일반, ",68,9.84,956.0
언어의 무게,파스칼 메르시어,"소설, ","독일소설, 독일소설일반, ",69,9.62,39.0
띵동! 당신의 눈물이 입금되었습니다,최소망,"소설, ","한국소설, 한국소설일반, ",70,9.77,54.0
악의,히가시노 게이고,"소설, 소설, ","일본소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",71,9.7,196.0
가재가 노래하는 곳,델리아 오언스,"소설, 소설, 소설, 소설, ","영미소설, 드라마/영화소설, 영미소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, 장르소설, 드라마/영화소설, ",72,9.59,477.0
폭탄,오승호,"소설, 소설, ","일본소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",73,9.18,35.0
저주토끼,정보라,"소설, 소설, 소설, 소설, ","한국소설, 미스터리/스릴러소설, 한국소설, 공포/호러소설, 장르소설, 공포/호러소설, 장르소설, 미스터리/스릴러소설, ",74,9.57,36.0
희망의 끈,히가시노 게이고,"소설, 소설, ","일본소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",75,9.78,279.0
채식주의자,한강,"소설, ","한국소설, 한국소설일반, ",76,9.52,104.0
테라피스트,B. A. 패리스,"소설, 소설, ","영미소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",77,9.53,179.0
여름,이디스 워튼,"소설, 소설, 소설, ","영미소설, 고전소설/문학선, 고전소설/문학선, 영미고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",78,9.47,83.0
회색 인간,김동식,"소설, ","한국소설, 한국소설일반, ",79,9.51,208.0
종의 기원,정유정,"소설, 소설, ","한국소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",81,9.31,891.0
아가미,구병모,"소설, ","한국소설, 한국소설일반, ",82,9.58,269.0
호랑이가 눈뜰 때,이윤하,"소설, 소설, 소설, 소설, 청소년, ","한국소설, SF/과학소설, 한국소설, 청소년소설, 영미소설, SF/과학소설, 장르소설, SF/과학소설, 청소년 소설, 한국, ",83,9.67,22.0
노인과 바다,어니스트 헤밍웨이,"소설, 소설, 소설, ","영미소설, 고전소설/문학선, 고전소설/문학선, 영미고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",84,9.73,344.0
어서 오세요 실력지상주의 교실에 2학년 편 9,키누가사 쇼고,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",86,10.0,13.0
"시선으로부터,",정세랑,"소설, ","한국소설, 한국소설일반, ",87,9.67,568.0
여성향 게임 세계는 모브에게 가혹한 세계입니다 11,미시마 요무,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",89,10.0,2.0
해리 포터와 마법사의 돌 1(해리포터 20주년 개정판),J. K. 롤링,"소설, 소설, 소설, 소설, ","영미소설, 판타지소설, 영미소설, 드라마/영화소설, 장르소설, 판타지소설, 장르소설, 드라마/영화소설, ",90,9.78,474.0
파과,구병모,"소설, ","한국소설, 한국소설일반, ",91,9.67,276.0
테디베어는 죽지 않아,조예은,"소설, 소설, ","한국소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",93,0.0,
스즈메의 문단속,신카이 마코토,"소설, 소설, 소설, 소설, ","일본소설, 라이트노벨, 일본소설, 드라마/영화소설, 라이트노벨, 일본라이트노벨, 장르소설, 드라마/영화소설, ",10,9.67,684.0
리스본행 야간열차,파스칼 메르시어,"소설, 소설, ","독일소설, 고전소설/문학선, 고전소설/문학선, 독일고전소설/문학선, ",95,9.88,35.0
소년이 온다,한강,"소설, ","한국소설, 한국소설일반, ",96,9.7,984.0
노 게임 노 라이프 12,카미야 유우,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",97,0.0,
브람스를 좋아하세요,프랑수아즈 사강,"소설, 소설, 소설, ","프랑스소설, 고전소설/문학선, 고전소설/문학선, 프랑스고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",98,9.51,585.0
한밤의 시간표,정보라,"소설, 소설, ","한국소설, 공포/호러소설, 장르소설, 공포/호러소설, ",99,10.0,3.0
젊은 근희의 행진,이서수,"소설, ","한국소설, 한국소설일반, ",100,10.0,14.0
메리골드 마음 세탁소,윤정은,"소설, ","한국소설, 한국소설일반, ",1,9.49,332.0
꿀벌의 예언 1,베르나르 베르베르,"소설, 소설, ","프랑스소설, SF/과학소설, 장르소설, SF/과학소설, ",2,9.82,13.0
꿀벌의 예언 2,베르나르 베르베르,"소설, 소설, ","프랑스소설, SF/과학소설, 장르소설, SF/과학소설, ",3,10.0,9.0
바다가 들리는 편의점,마치다 소노코,"소설, ","일본소설, 일본소설일반, ",4,9.88,111.0
풍수전쟁,김진명,"소설, ","한국소설, 한국소설일반, ",5,9.49,132.0
불편한 편의점(벚꽃 에디션),김호연,"소설, ","한국소설, 한국소설일반, ",6,9.77,3058.0
모순,양귀자,"소설, ","한국소설, 한국소설일반, ",7,9.83,1015.0
마당이 있는 집,김진영,"소설, ","한국소설, 한국소설일반, ",8,9.11,85.0
아버지의 해방일지,정지아,"소설, ","한국소설, 한국소설일반, ",9,9.82,1141.0
불편한 편의점 2(단풍 에디션),김호연,"소설, ","한국소설, 한국소설일반, ",11,9.75,1265.0
돌연한 출발,프란츠 카프카,"소설, 소설, ","그외유럽소설, 그외유럽소설, 고전소설/문학선, 고전소설/문학선일반, ",12,9.61,276.0
비가 오면 열리는 상점,유영광,"소설, ","한국소설, 한국소설일반, ",13,9.44,5.0
눈부신 안부,백수린,"소설, ","한국소설, 한국소설일반, ",14,9.58,21.0
구의 증명,최진영,"소설, ","한국소설, 한국소설일반, ",15,9.55,19.0
세상의 마지막 기차역(리커버 에디션),무라세 다케시,"소설, ","일본소설, 일본소설일반, ",16,9.64,665.0
작별의 건너편,시미즈 하루키,"소설, ","일본소설, 일본소설일반, ",17,10.0,34.0
연수,장류진,"소설, ","한국소설, 한국소설일반, ",18,10.0,4.0
어머니의 유산,미즈무라 미나에,"소설, ","일본소설, 일본소설일반, ",19,9.76,35.0
스토너,존 윌리엄스,"소설, ","영미소설, 영미소설일반, ",20,9.6,170.0
2023 제14회 젊은작가상 수상작품집,이미상 외,"소설, ","한국소설, 한국소설일반, ",21,9.55,190.0
블랙 쇼맨과 환상의 여자,히가시노 게이고,"소설, 소설, ","일본소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",23,9.46,123.0
"너는, 어느 계절에 죽고 싶어",홍선기,"소설, ","한국소설, 한국소설일반, ",24,10.0,10.0
각각의 계절,권여선,"소설, ","한국소설, 한국소설일반, ",25,9.68,95.0
매스커레이드 게임,히가시노 게이고,"소설, 소설, ","일본소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",26,0.0,
스토너(초판본),존 윌리엄스,"소설, ","영미소설, 영미소설일반, ",27,9.7,198.0
맡겨진 소녀,클레어 키건,"소설, 소설, 소설, ","영미소설, 영미소설일반, 영미소설, 드라마/영화소설, 장르소설, 드라마/영화소설, ",28,9.61,64.0
코드612 누가 어린왕자를 죽였는가,미셸 뷔시,"소설, 소설, ","프랑스소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",29,9.0,32.0
작은 땅의 야수들(리커버 특별판),김주혜,"소설, ","영미소설, 영미소설일반, ",31,10.0,2.0
소설 보다: 여름(2023),공현진 외,"소설, ","한국소설, 한국소설일반, ",32,9.41,9.0
너무나 많은 여름이,김연수,"소설, ","한국소설, 한국소설일반, ",33,0.0,
데미안,헤르만 헤세,"소설, 소설, 소설, ","독일소설, 고전소설/문학선, 고전소설/문학선, 독일고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",34,9.53,1144.0
달러구트 꿈 백화점,이미예,"소설, 소설, ","한국소설, 판타지소설, 장르소설, 판타지소설, ",35,9.47,2074.0
파친코 2,이민진,"소설, 소설, 소설, ","영미소설, 영미소설일반, 영미소설, 드라마/영화소설, 장르소설, 드라마/영화소설, ",37,9.76,495.0
파친코 1,이민진,"소설, 소설, 소설, ","영미소설, 영미소설일반, 영미소설, 드라마/영화소설, 장르소설, 드라마/영화소설, ",38,9.76,888.0
하얼빈,김훈,"소설, 소설, ","한국소설, 역사/대하소설, 장르소설, 역사소설, ",40,9.73,1062.0
나는 소망한다 내게 금지된 것을,양귀자,"소설, ","한국소설, 한국소설일반, ",41,9.85,300.0
천 개의 파랑,천선란,"소설, 소설, ","한국소설, SF/과학소설, 장르소설, SF/과학소설, ",42,9.8,316.0
우리가 빛의 속도로 갈 수 없다면,김초엽,"소설, 소설, ","한국소설, SF/과학소설, 장르소설, SF/과학소설, ",43,9.59,1036.0
모성,미나토 가나에,"소설, ","일본소설, 일본소설일반, ",44,9.92,122.0
싯다르타,헤르만 헤세,"소설, 소설, 소설, ","독일소설, 고전소설/문학선, 고전소설/문학선, 독일고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",45,9.64,398.0
동조자 The Sympathizer,비엣 타인 응우옌,"소설, 소설, 소설, ","영미소설, 영미소설일반, 영미소설, 드라마/영화소설, 장르소설, 드라마/영화소설, ",46,10.0,2.0
행복배틀,주영하,"소설, 소설, 소설, 소설, ","한국소설, 미스터리/스릴러소설, 한국소설, 드라마/영화소설, 장르소설, 미스터리/스릴러소설, 장르소설, 드라마/영화소설, ",47,10.0,25.0
