,title,author,genre_1,genre_2,brank,rate,count,isbn
199,발달장애 자연치료 식이요법 갭스(GAPS),Dr. Natasha Campball-McBride,"인문, ","특수교육, 발달장애, ",846,10.0,1.0,9791189657475.0
200,마지막 끈을 놓기 전에,로리 오코너,"인문, ","심리학, 심리치료, ",847,10.0,20.0,9791156754138.0
201,맹자,맹자,"인문, ","철학, 중국철학자, ",848,0.0,,9791160805352.0
202,맹자,맹자,"인문, ","철학, 중국철학자, ",848,0.0,,9791191805154.0
203,내 손금은 내가 본다,민광욱(겸재),"인문, ","역학/사주, 작명/궁합/관상, ",849,10.0,1.0,9791197410321.0
204,오늘부터 나를 위해 울기로 했다,박성만,"인문, ","심리학, 교양심리, ",850,10.0,5.0,9791155402160.0
205,일하는 사람의 생각,김신,"인문, ","인문학일반, 인문교양, ",751,9.84,30.0,9791190403238.0
206,노자가 옳았다,김용옥,"인문, ","철학, 중국철학자, ",752,9.74,99.0,9788982641473.0
207,한동일의 공부법,한동일,"인문, ","인문학일반, 인문교양, ",753,9.81,74.0,9788954753913.0
208,작업기억 향상 워크북,데이비드 뉴먼,"인문, ","교육학, 교수/학습법, ",754,8.33,3.0,9788997724062.0
209,부모와 십대 사이,하임 기너트,"인문, 인문, ","교육학, 사회교육/평생교육, 교육학, 교육학이론, ",755,9.26,11.0,9788990220134.0
210,자기암시,에밀 쿠에,"인문, ","심리학, 심리치료, ",756,9.47,28.0,9791159970474.0
211,생각의 시대,김용규,"인문, ","인문학일반, 인문교양, ",757,9.72,39.0,9788934992332.0
212,난처한 클래식 수업 4,민은기,"인문, 예술/대중문화, ","인문교양총서, 인문교양총서일반, 음악, 성악/가곡, ",758,10.0,10.0,9791162731161.0
213,난처한 클래식 수업 3,민은기,"인문, 예술/대중문화, ","인문교양총서, 인문교양총서일반, 음악, 성악/가곡, ",759,9.89,25.0,9791162731154.0
214,나는 독일인입니다,노라 크루크,"인문, 만화, ","인문학일반, 인문교양, 그래픽노블, 그래픽노블일반, ",760,9.62,22.0,9791196914844.0
215,사후생,엘리자베스 퀴블러 로스,"인문, ","인문학일반, 인문교양, ",761,9.04,18.0,9788985155502.0
