제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"1","역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 ","자청 지음","웅진씽크빅","2022","","9788901260716","147",
"2","돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ","지은이: 김승호","Snowfox(스노우폭스북스)","2020","","9791188331796","129",
"3","불편한 편의점 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2021","","9791161571188","122",
"4","도파민네이션 :쾌락 과잉 시대에서 균형 찾기 ","애나 렘키 지음 ;김두완 옮김","흐름출판","2022","","9788965965046","110",
"5","부자 아빠 가난한 아빠 :20주년 특별 기념판 ","지은이: 로버트 기요사키 ;옮긴이: 안진환","민음인","2018","","9791158883591","98",
"6","(서울 자가에 대기업 다니는) 김 부장 이야기 ","송희구 지음","서삼독","2021","3","9791165344221","93",
"7","(서울 자가에 대기업 다니는) 김 부장 이야기 ","송희구 지음","서삼독","2021","1","9791165343996","91",
"8","불편한 편의점 :김호연 장편소설","지은이: 김호연","나무옆의자","2022","2","9791161571379","90",
"9","타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략 ","팀 페리스 지음 ;정지현 옮김","Tornado(토네이도)","2017","","9791158510619","86",
"10","나미야 잡화점의 기적 :히가시노 게이고 장편소설 ","지은이: 히가시노 게이고 ;옮긴이: 양윤옥","현대문학","2012","","9788972756194","85",
"10","아버지의 해방일지 :정지아 장편소설 ","지은이: 정지아","창비","2022","","9788936438838","85",
"12","(서울 자가에 대기업 다니는) 김 부장 이야기 ","송희구 지음","서삼독","2021","2","9791165344009","84",
"12","사장학개론 ","지은이: 김승호","스노우폭스북스","2023","","9791188331888","84",
"12","세이노의 가르침","세이노 (지은이)","데이원","2023","","9791168473690","84",
