제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"1","물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ","룰루 밀러 지음 ;정지인 옮김","곰출판","2021","","9791189327156","408",
"2","불편한 편의점 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2021","","9791161571188","380",
"3","지구 끝의 온실 :김초엽 장편소설 ","지은이: 김초엽","Giant Books(자이언트북스)","2021","","9791191824001","376",
"4","달러구트 꿈 백화점.이미예 장편소설 ","지은이: 이미예","팩토리나인","2020","1-2 :","9791165341909","345",
"5","홍학의 자리 :정해연 장편소설 ","지은이: 정해연","문학동네","2021","","9788954681155","340",
"6","천 개의 파랑 :천선란 장편소설 ","지은이: 천선란","허블","2020","","9791190090261","334",
"7","칵테일, 러브, 좀비 ","지은이: 조예은","안전가옥","2020","","9791190174756","320",
"8","우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ","지은이: 김초엽","허블","2019","","9791190090018","314",
"9","트로피컬 나이트 =조예은 소설집 /Tropical night ","지은이: 조예은","한겨레엔","2022","","9791160408331","301",
"10","시선으로부터, :정세랑 장편소설 ","지은이: 정세랑","문학동네","2020","","9788954672214","300",
"11","구의 증명 :최진영 소설 ","지은이: 최진영","은행나무","2015","","9788956608556","293",
"12","밝은 밤 :최은영 장편소설 ","지은이: 최은영","문학동네","2021","","9788954681179","280",
"13","나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ","지은이: 양귀자","쓰다","2019","","9788998441074","275",
"14","달러구트 꿈 백화점.이미예 장편소설 ","지은이: 이미예","팩토리나인","2020","2","9791165343729","255",
"15","지구에서 한아뿐 :정세랑 장편소설 ","지은이: 정세랑","난다","2019","","9791188862290","253",
"16","미드나잇 라이브러리 ","매트 헤이그 지음 ;노진선 옮김","인플루엔셜","2021","","9791191056556","245",
"17","아몬드손원평 장편소설","손원평","창비","2017","22","9788936434267","244",
"18","아버지의 해방일지 :정지아 장편소설 ","지은이: 정지아","창비","2022","","9788936438838","213",
"19","다정한 것이 살아남는다 ","지은이: 브라이언 헤어,옮긴이: 이민아","디플롯","2021","","9791197413025","208",
"19","어서오세요, 휴남동 서점입니다 :황보름 장편소설 ","지은이: 황보름","클레이하우스","2022","","9791197377143","208",
"19","종의 기원 =정유정 장편소설 /The origin of species ","지은이: 정유정","은행나무","2016","","9788956609959","208",
"22","불편한 편의점 :김호연 장편소설","지은이: 김호연","나무옆의자","2022","2","9791161571379","206",
"23","완전한 행복 :정유정 장편소설 ","지은이: 정유정","은행나무","2021","","9791167370280","203",
"24","모순 :양귀자 장편소설 ","지은이: 양귀자","쓰다","2013","","9788998441012","201",
"25","여름의 빌라 :백수린 소설 ","지은이: 백수린","문학동네","2020","","9788954673105","200",
"26","파과 :구병모 장편소설 ","지은이: 구병모","위즈덤하우스 미디어그룹","2018","","9791162203620","198",
"27","피프티 피플 :정세랑 장편소설 ","지은이: 정세랑","창비","2016","","9788936434243","194",
"28","돈은 좋지만 재테크는 겁나는 너에게 ","뿅글이 지음","첨단","2023","","9788960306134","193",
"28","작별인사 :김영하 장편소설 ","지은이: 김영하","복복서가","2022","","9791191114225","193",
"30","소년이 온다 :한강 장편소설 ","지은이: 한강","창비","2014","","9788936434120","192",
"31","쇼코의 미소 :최은영 소설 ","지은이: 최은영","문학동네","2016","","9788954641630","190",
"32","바깥은 여름 :김애란 소설 ","지은이: 김애란","문학동네","2017","","9788954646079","186",
"33","내게 무해한 사람 :최은영 소설 ","지은이: 최은영","문학동네","2018","","9788954651820","185",
"34","나미야 잡화점의 기적 :히가시노 게이고 장편소설 ","지은이: 히가시노 게이고 ;옮긴이: 양윤옥","현대문학","2012","","9788972756194","184",
"35","공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가 ","마이클 샌델 지음 ;함규진 옮김","미래엔","2020","","9791164136452","181",
"36","프로젝트 헤일메리 ","앤디 위어 지음 ;강동혁 옮김","RHK(알에이치코리아)","2021","","9788925588735","175",
"37","방금 떠나온 세계 :김초엽 소설집 ","지은이: 김초엽","한겨레엔","2021","","9791160406504","171",
"37","파친코 :이민진 장편소설","이민진 지음 ;이미정 옮김","문학사상","2018","1","9788970129815","171",
"39","어린이라는 세계 :김소영 에세이 ","지은이: 김소영","사계절(사계절출판사)","2020","","9791160946918","169",
"40","아가미 :구병모 장편소설 ","지은이: 구병모","위즈덤하우스","2018","","9791162203392","164",
"41","이토록 평범한 미래 :김연수 소설 ","지은이: 김연수","문학동네","2022","","9788954680004","160",
"42","일의 기쁨과 슬픔 :장류진 소설집 ","지은이: 장류진","창비","2019","","9788936438036","159",
"43","아무튼, 여름 - 내가 그리워한 건 여름이 아니라 여름의 나였다","김신회 (지은이)","제철소","2020","","9791188343317","157",
"43","역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 ","자청 지음","웅진씽크빅","2022","","9788901260716","157",
"45","랑과 나의 사막 :천선란 소설 ","지은이: 천선란","H(현대문학)","2022","","9791167901354","156",
"45","오늘 밤, 세계에서 이 사랑이 사라진다 해도 ","이치조 미사키 지음 ;권영주 옮김","바이포엠","2021","","9791191043297","156",
"45","해가 지는 곳으로 :최진영 장편소설 ","지은이: 최진영","민음사","2017","","9788937473166","156",
"48","타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략 ","팀 페리스 지음 ;정지현 옮김","Tornado(토네이도)","2017","","9791158510619","151",
"49","스노볼 드라이브 :조예은 장편소설 ","지은이: 조예은","민음사","2021","","9788937473319","150",
"50","지적 대화를 위한 넓고 얕은 지식 0 :지혜를 찾아 138억 년을 달리는 시간 여행서 ","채사장 지음","Whale Books(웨일북)","2019","","9791190313131","149",
"51","돌이킬 수 있는 =문목하 장편소설 /Eversible ","지은이: 문목하","아작","2018","","9791189015381","147",
"52","여행의 이유 :김영하 산문 ","지은이: 김영하","문학동네","2019","","9788954655972","142",
"53","유령의 마음으로 :임선우 소설집 ","지은이: 임선우","민음사","2022","","9788937442698","141",
"53","파쇄 :일단 마음먹고 칼을 집었으면, 뜸 들이지 마 ","지은이: 구병모","위즈덤하우스","2023","","9791168127012","141",
"55","더 좋은 삶을 위한 철학 ","지은이: 마이클 슈어 ;옮긴이: 염지선","김영사","2023","","9788934965909","140",
"56","가녀장의 시대 :이슬아 장편소설 ","지은이: 이슬아","문학동네","2022","","9788954688796","139",
"57","원씽 :복잡한 세상을 이기는 단순함의 힘 ","게리 켈러,구세희 옮김","비즈니스북스","2013","","9788997575169","138",
"57","인간 실격","다자이 오사무 지음;김춘미 옮김","민음사","2004","","9788937461033","138",
"59","어떤 물질의 사랑 :천선란 소설집 ","지은이: 천선란","아작","2020","","9791165508340","137",
"60","데미안 ","지은이: 헤르만 헤세 ;옮긴이: 전영애","민음사","2000","","9788937460449","136",
"61","세상의 마지막 기차역 ","무라세 다케시 지음 ;김지연 옮김","바이포엠 스튜디오","2022","","9791191043754","135",
"62","목소리를 드릴게요 :정세랑 소설집 ","지은이: 정세랑","아작","2020","","9791165300005","133",
"63","트렌드 코리아 2023 :더 높은 도약을 준비하는 검은 토끼의 해 ","지은이: 김난도,추예린","미래의창","2022","","9788959897094","132",
"64","대도시의 사랑법 :박상영 연작소설 ","지은이: 박상영","창비","2019","","9788936437978","129",
"65","7년의 밤 :정유정 장편소설 ","지은이: 정유정","은행나무","2011","","9788956604992","128",
"66","노랜드 :천선란 소설집 ","지은이: 천선란","한겨레엔","2022","","9791160404944","126",
"66","돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ","지은이: 김승호","Snowfox(스노우폭스북스)","2020","","9791188331796","126",
"66","채식주의자:한강 연작소설","한강","창비","2007","","9788936433598","126",
"69","도파민네이션 :쾌락 과잉 시대에서 균형 찾기 ","애나 렘키 지음 ;김두완 옮김","흐름출판","2022","","9788965965046","125",
"69","부자 아빠 가난한 아빠 :20주년 특별 기념판 ","지은이: 로버트 기요사키 ;옮긴이: 안진환","민음인","2018","","9791158883591","125",
"71","파친코 :이민진 장편소설","이민진 지음 ;이미정 옮김","문학사상","2018","2","9788970129822","124",
"72","나인 :천선란 장편소설 ","지은이: 천선란","창비","2021","","9788936438609","122",
"72","마당이 있는 집 ","김진영 지음","문학동네","2018","","9788954651059","122",
"72","이끼숲","천선란 (지은이)","자이언트북스","2023","","9791191824216","122",
"75","선량한 차별주의자 ","김지혜 지음","창비","2019","","9788936477196","121",
"76","어느 날, 내 죽음에 네가 들어왔다 ","세이카 료겐 지음 ;김윤경 옮김","바이포엠 스튜디오","2022","","9791191043723","118",
"76","오늘 밤, 세계에서 이 눈물이 사라진다 해도 ","이치조 미사키 지음 ;김윤경 옮김","바이포엠 스튜디오","2022","","9791191043976","118",
"78","심판 ","베르나르 베르베르 지음 ;전미연 옮김","열린책들","2020","","9788932920405","117",
"78","작별하지 않는다 :한강 장편소설 ","지은이: 한강","문학동네","2021","","9788954682152","117",
"80","내 주위에는 왜 멍청이가 많을까 :세상을 위협하는 멍청함을 연구하다 ","장 프랑수아 마르미옹 지음 ;이주영 옮김","시공사","2020","","9788952756879","116",
"80","달까지 가자 :장류진 장편소설 ","지은이: 장류진","창비","2021","","9788936434496","116",
"80","우울할 땐 뇌과학 ","앨릭스 코브 지음 ;정지인 옮김","푸른숲","2018","","9791156757344","116",
"80","저주토끼 (리커버)","정보라 (지은이)","아작","2022","","9791166686665","116",
"84","튜브 :손원평 장편소설 ","지은이: 손원평","창비","2022","","9788936434625","115",
"85","비행운 :김애란 소설집 ","지은이: 김애란","문학과지성사","2012","","9788932023151","114",
"86","지적 대화를 위한 넓고 얕은 지식","채사장 지음","한빛비즈","2014","","9788994120966","112",
"86","지적 대화를 위한 넓고 얕은 지식 1 - 현실 편 : 역사 / 경제 / 정치 / 사회 / 윤리","채사장 (지은이)","웨일북","2020","","9791190313186","112",
"86","천문학자는 별을 보지 않는다 ","심채경 지음","문학동네","2021","","9788954677257","112",
"86","파친코 :이민진 장편소설 ","지은이: 이민진 ;옮긴이: 신승미","인플루엔셜","2022","1","9791168340510","112",
"90","가면산장 살인사건 ","지은이: 히가시노 게이고 ;옮긴이: 김난주","재인","2014","","9788990982575","110",
"90","재와 물거품 ","지은이: 김청귤","안전가옥","2021","","9791191193114","110",
"92","미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 ","기시미 이치로,전경아 옮김","인플루엔셜","2014","","9788996991342","109",
"93","동급생 ","프레드 울만 지음 ;황보석 옮김","열린책들","2017","","9788932918143","108",
"93","아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ","제임스 클리어 지음 ;이한이 옮김","비즈니스북스","2019","","9791162540640","108",
"93","왜 나는 너를 사랑하는가","알랭 드 보통 [지음];정영목 옮김","청미래","2007","","9788986836240","108",
"93","하얼빈 :김훈 장편소설 ","지은이: 김훈","문학동네","2022","","9788954699914","108",
"97","H마트에서 울다 ","미셸 자우너 지음 ;정혜윤 옮김","문학동네","2022","","9788954683371","106",
"98","애쓰지 않아도 :최은영 짧은 소설 ","지은이: 최은영 ;그린이: 김세희","마음산책","2022","","9788960907348","105",
"99","당신은 결국 무엇이든 해내는 사람 :김상현 에세이 ","지은이: 김상현","필름(필름출판사)","2022","","9791188469994","104",
"99","사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ","지은이: 유발 하라리 ;옮긴이: 조현욱","김영사","2015","","9788934972464","104",
"101","가재가 노래하는 곳 :델리아 오언스 장편소설 ","지은이: 델리아 오언스 ;옮긴이: 김선형","살림출판사","2019","","9788952240569","103",
"101","내게 남은 사랑을 드릴게요 ","지은이: 이유리,천선란","자이언트북스","2023","","9791191824193","103",
"103","용의자 X의 헌신 ","히가시노 게이고 지음 ;양억관 옮김","재인","2017","","9788990982704","102",
"104","돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설 ","저자: 야쿠마루 가쿠 ;옮긴이: 김성미","Book plaza(북플라자)","2017","","9788998274795","101",
"104","음식 중독 :먹고 싶어서 먹는다는 착각 ","지은이: 마이클 모스 ;옮긴이: 연아람","민음사","2023","","9788937469268","101",
"106","내가 되는 꿈 :최진영 장편소설 ","지은이: 최진영","H(현대문학)","2021","","9791190885621","100",
"106","메리골드 마음 세탁소","윤정은 (지은이)","북로망스","2023","","9791191891287","100",
"106","소크라테스 익스프레스 :철학이 우리 인생에 스며드는 순간 ","에릭 와이너 지음 ;김하현 옮김","어크로스(어크로스출판그룹)","2021","","9791190030922","100",
"109","도둑맞은 집중력 - 집중력 위기의 시대, 삶의 주도권을 되찾는 법","요한 하리 (지은이), 김하현 (옮긴이)","어크로스","2023","","9791167740984","99",
"109","친밀한 이방인 :정한아 장편소설 ","지은이: 정한아","문학동네","2017","","9788954648523","99",
"111","므레모사 :김초엽 소설 ","지은이: 김초엽","H(현대문학)","2021","","9791167900821","98",
"111","인생의 역사 :신형철 시화 ","지은이: 신형철","난다","2022","","9791191859379","98",
"111","지구인만큼 지구를 사랑할 순 없어 :정세랑 에세이 ","지은이: 정세랑","위즈덤하우스","2021","","9791191583793","98",
"114","급류 :정대건 장편소설 ","지은이: 정대건","민음사","2022","","9788937473401","97",
"115","(EBS 다큐프라임) 자본주의 ","EBS MEDIA 기획 ;EBS <자본주의> 제작팀 지음","가나문화콘텐츠","2013","","9788957365793","96",
"115","행성어 서점 :김초엽 짧은 소설 ","지은이: 김초엽 ;그린이: 최인호","마음산책","2021","","9788960907003","96",
"117","러브 몬스터 =이두온 장편소설 /Love monster ","지은이: 이두온","창비","2023","","9788936438999","95",
"117","럭키 드로우 =나만의 길을 찾을 때까지 인생의 레버를 당기는 법 /Lucky draw ","드로우앤드류 지음","다산북스","2022","","9791130679822","95",
"119","살인자의 기억법 :김영하 장편소설 ","지은이: 김영하","문학동네","2013","","9788954622035","94",
"119","아비투스 :인간의 품격을 결정하는 7가지 자본 ","도리스 메르틴 지음 ;배명자 옮김","다산북스","2020","","9791130630762","94",
"119","여름 언덕에서 배운 것 :안희연 시집 ","지은이: 안희연","창비","2020","","9788936424466","94",
"119","책들의 부엌 :김지혜 장편소설 ","지은이: 김지혜","팩토리나인","2022","","9791165345204","94",
"123","긴긴밤 ","루리 글·그림","문학동네","2021","","9788954677158","93",
"123","더 셜리 클럽 :박서련 장편소설 ","지은이: 박서련","민음사","2020","","9788937473296","93",
"123","환상서점 :소서림 장편소설 ","지은이: 소서림","해피북스투유","2023","","9791164798926","93",
"126","브로콜리 펀치 :이유리 소설집 ","지은이: 이유리","문학과지성사","2021","","9788932039114","92",
"127","기분을 관리하면 인생이 관리된다 :김다슬 에세이 ","지은이: 김다슬","클라우디아","2022","","9791196617127","91",
"127","아몬드 :손원평 장편소설 ","지은이: 손원평","창비","2017","","9788936456788","91",
