제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"1","아버지의 해방일지 :정지아 장편소설 ","지은이: 정지아","창비","2022","","9788936438838","525",
"2","불편한 편의점 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2021","","9791161571188","459",
"3","불편한 편의점 :김호연 장편소설","지은이: 김호연","나무옆의자","2022","2","9791161571379","413",
"4","세이노의 가르침","세이노 (지은이)","데이원","2023","","9791168473690","254",
"5","생에 감사해 ","지은이: 김혜자","수오서재","2022","","9791190382915","244",
"6","어서오세요, 휴남동 서점입니다 :황보름 장편소설 ","지은이: 황보름","클레이하우스","2022","","9791197377143","241",
"6","역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 ","자청 지음","웅진씽크빅","2022","","9788901260716","241",
"6","작별인사 :김영하 장편소설 ","지은이: 김영하","복복서가","2022","","9791191114225","241",
"9","메리골드 마음 세탁소","윤정은 (지은이)","북로망스","2023","","9791191891287","236",
"10","하얼빈 :김훈 장편소설 ","지은이: 김훈","문학동네","2022","","9788954699914","228",
"11","희망의 끈","히가시노 게이고 (지은이), 김난주 (옮긴이)","재인","2022","","9791192483146","218",
"12","(건강과 다이어트를 동시에 잡는) 채소·과일식 :단순하면서 자연스러운 가장 효과적인 식단 ","글: 조승우","바이북스","2022","","9791158773120","216",
"12","당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게 ","정희원 지음","길벗","2023","","9791140702589","216",
"14","만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42 ","김혜남 지음","메이븐","2022","","9791190538510","215",
"15","파친코 :이민진 장편소설","이민진 지음 ;이미정 옮김","문학사상","2018","2","9788970129822","202",
"16","밝은 밤 :최은영 장편소설 ","지은이: 최은영","문학동네","2021","","9788954681179","196",
"17","우리, 편하게 말해요 :마음을 다해 듣고 할 말은 놓치지 않는 이금희의 말하기 수업 ","이금희 지음","웅진씽크빅","2022","","9788901264776","193",
"17","파친코 :이민진 장편소설","이민진 지음 ;이미정 옮김","문학사상","2018","1","9788970129815","193",
"19","물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ","룰루 밀러 지음 ;정지인 옮김","곰출판","2021","","9791189327156","187",
"20","이토록 평범한 미래 :김연수 소설 ","지은이: 김연수","문학동네","2022","","9788954680004","184",
"21","순례 주택 :유은실 소설 ","지은이: 유은실","비룡소","2021","","9788949123493","182",
"22","블랙 쇼맨과 환상의 여자","히가시노 게이고 (지은이), 최고은 (옮긴이)","알에이치코리아(RHK)","2023","","9788925576633","180",
"23","(서울 자가에 대기업 다니는) 김 부장 이야기 ","송희구 지음","서삼독","2021","3","9791165344221","177",
"24","고래:천명관 장편소설","천명관 지음","문학동네","2004","","9788982819278","174",
"25","(서울 자가에 대기업 다니는) 김 부장 이야기 ","송희구 지음","서삼독","2021","2","9791165344009","172",
"26","여행의 이유 :김영하 산문 ","지은이: 김영하","문학동네","2019","","9788954655972","170",
"27","(서울 자가에 대기업 다니는) 김 부장 이야기 ","송희구 지음","서삼독","2021","1","9791165343996","168",
"28","망원동 브라더스 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2013","","9788997962129","165",
"29","장하준의 경제학 레시피 :마늘에서 초콜릿까지 18가지 재료로 요리한 경제 이야기 ","장하준 지음 ;김희정 옮김","부키","2023","","9788960519794","164",
"30","완전한 행복 :정유정 장편소설 ","지은이: 정유정","은행나무","2021","","9791167370280","163",
"31","돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ","지은이: 김승호","Snowfox(스노우폭스북스)","2020","","9791188331796","153",
"32","가재가 노래하는 곳 :델리아 오언스 장편소설 ","지은이: 델리아 오언스 ;옮긴이: 김선형","살림출판사","2019","","9788952240569","152",
"32","내면소통 =삶의 변화를 가져오는 마음근력 훈련/Inner communication","김주환 지음","인플루엔셜","2023","","9791168340855","152",
"34","거인의 노트 :인생에서 무엇을 보고 어떻게 기록할 것인가 ","김익한 지음","다산북스","2023","","9791130697529","146",
"34","달러구트 꿈 백화점.이미예 장편소설 ","지은이: 이미예","팩토리나인","2020","1-2 :","9791165341909","146",
"36","환상서점 :소서림 장편소설 ","지은이: 소서림","해피북스투유","2023","","9791164798926","142",
"37","모든 삶은 흐른다 :삶의 지표가 필요한 당신에게 바다가 건네는 말 ","로랑스 드빌레르 지음 ;이주영 옮김","Fika(피카)","2023","","9791190299770","140",
"38","각각의 계절","권여선 (지은이)","문학동네","2023","","9788954692526","139",
"38","세상의 마지막 기차역 ","무라세 다케시 지음 ;김지연 옮김","바이포엠 스튜디오","2022","","9791191043754","139",
"40","시선으로부터, :정세랑 장편소설 ","지은이: 정세랑","문학동네","2020","","9788954672214","136",
"41","나의 아름다운 날들 :정지아 소설 ","지은이: 정지아","은행나무","2023","","9791167372703","134",
"41","마당이 있는 집 ","김진영 지음","문학동네","2018","","9788954651059","134",
"43","아몬드손원평 장편소설","손원평","창비","2017","22","9788936434267","133",
"44","책들의 부엌 :김지혜 장편소설 ","지은이: 김지혜","팩토리나인","2022","","9791165345204","132",
"45","가녀장의 시대 :이슬아 장편소설 ","지은이: 이슬아","문학동네","2022","","9788954688796","130",
"45","하루 한 장, 인생 그림 :아트메신저 이소영이 전하는 명화의 세계 ","이소영 지음","RHK(알에이치코리아)","2023","","9788925576992","130",
"47","안젤리크 :기욤 뮈소 장편소설 ","글: 기욤 뮈소 ;옮긴이: 양영란","밝은세상","2022","","9788984374546","129",
"47","화이트 러시 =White rush ","저자: 히가시노 게이고 ;옮긴이: 민경욱","소미미디어","2023","","9791138415477","129",
"49","이어령의 마지막 수업 ","김지수 지음","열림원","2021","","9791170400523","128",
"50","바다가 들리는 편의점 ","마치다 소노코 지음 ;황국영 옮김","바이포엠 스튜디오","2023","","9791192579504","126",
"51","에이징 솔로 =혼자를 선택한 사람들은 어떻게 나이 드는가 /Aging solo ","김희경 지음","동아시아","2023","","9788962624885","125",
"52","괜찮아, 그 길 끝에 행복이 기다릴 거야 - 흔들리고 지친 이들에게 산티아고가 보내는 응원","손미나 (지은이)","코알라컴퍼니","2023","","9791198262004","124",
"52","원씽 :복잡한 세상을 이기는 단순함의 힘 ","게리 켈러,구세희 옮김","비즈니스북스","2013","","9788997575169","124",
"54","H마트에서 울다 ","미셸 자우너 지음 ;정혜윤 옮김","문학동네","2022","","9788954683371","123",
"54","긴긴밤 ","루리 글·그림","문학동네","2021","","9788954677158","123",
"54","외사랑 ","저자: 히가시노 게이고 ;옮긴이: 민경욱","소미미디어","2022","","9791138413251","123",
"54","튜브 :손원평 장편소설 ","지은이: 손원평","창비","2022","","9788936434625","123",
"58","달러구트 꿈 백화점.이미예 장편소설 ","지은이: 이미예","팩토리나인","2020","2","9791165343729","122",
"59","나의 돈 많은 고등학교 친구 - 슈퍼리치와의 대화에서 찾아낸 부자의 길","송희구 (지은이)","서삼독","2023","","9791165347161","121",
"60","견딜 수 없는 사랑","이언 매큐언 (지은이), 한정아 (옮긴이)","복복서가","2023","","9791191114430","120",
"60","파친코 :이민진 장편소설 ","지은이: 이민진 ;옮긴이: 신승미","인플루엔셜","2022","2","9791168340541","120",
"62","스토너 :존 윌리엄스 장편소설 ","지은이: 존 윌리엄스 ;옮긴이: 김승욱","RHK(알에이치코리아)","2015","","9788925554990","118",
"63","스즈메의 문단속 ","신카이 마코토 지음 ;민경욱 옮김","대원씨아이","2023","","9791169791977","117",
"64","파친코 :이민진 장편소설 ","지은이: 이민진 ;옮긴이: 신승미","인플루엔셜","2022","1","9791168340510","116",
"65","종이달 :가쿠타 미쓰요 장편소설 ","지은이: 가쿠다 미쓰요 ;옮긴이: 권남희","위즈덤하우스","2014","","9788959138524","114",
"66","(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업 ","김미경 지음","엠케이유니버스","2023","","9791198013026","112",
"66","저주토끼 (리커버)","정보라 (지은이)","아작","2022","","9791166686665","112",
"68","내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong ","비욘 나티코 린데블라드 지음 ;박미경 옮김","다산북스","2022","","9791130689890","110",
"69","(사이토 히토리의) 1퍼센트 부자의 법칙 ","사이토 히토리 [지음] ;김진아 옮김","나비스쿨","2023","","9791197389450","109",
"70","미드나잇 라이브러리 ","매트 헤이그 지음 ;노진선 옮김","인플루엔셜","2021","","9791191056556","107",
"71","방주 :유키 하루오 장편소설 ","지은이: 유키 하루오 ;옮긴이: 김은모","블루홀6(블루홀식스)","2023","","9791189571894","105",
"72","고통의 비밀 :통증에 관한 오해와 진실 ","몬티 라이먼 지음 ;박선영 옮김","상상스퀘어","2022","","9791192389059","104",
"72","방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술 ","조원재 지음","백도씨","2018","","9788968331862","104",
"74","모순 :양귀자 장편소설 ","지은이: 양귀자","쓰다","2013","","9788998441012","103",
"74","여행의 시간 :도시건축가 김진애의 인생 여행법 ","지은이: 김진애","창비","2023","","9788936479251","103",
"74","인생의 역사 :신형철 시화 ","지은이: 신형철","난다","2022","","9791191859379","103",
"74","홈 스위트 홈 외 5편 ","지은이: 최진영,최은미","문학사상","2023","","9788970125640","103",
"78","나미야 잡화점의 기적 :히가시노 게이고 장편소설 ","지은이: 히가시노 게이고 ;옮긴이: 양윤옥","현대문학","2012","","9788972756194","102",
"79","K 배터리 레볼루션 =향후 3년, 새로운 부의 시장에서 승자가 되는 법 /K battery revolution ","박순혁 지음","지와인","2023","","9791191521221","101",
"79","안녕의 의식 :미야베 미유키 소설집 ","지은이: 미야베 미유키 ;옮긴이: 홍은주","김영사","2023","","9788934974932","101",
"81","유럽도시기행","지은이: 유시민","아름다운사람들","2019","2","9788965137702","100",
"82","나의 마지막 엄마 :아사다 지로 장편소설 ","지은이: 아사다 지로 ;옮긴이: 이선희","다산북스","2023","","9791130697819","99",
"82","다정한 것이 살아남는다 ","지은이: 브라이언 헤어,옮긴이: 이민아","디플롯","2021","","9791197413025","99",
"82","몰입 =인생을 바꾸는 자기 혁명 /Think hard ","황농문 지음","랜덤하우스코리아","2008","","9788925514826","99",
"82","우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ","지은이: 김초엽","허블","2019","","9791190090018","99",
"82","이 책은 돈 버는 법에 관한 이야기 :서민갑부 고명환의 생각법, 독서법, 장사법 ","고명환 지음","라곰","2022","","9791189686536","99",
"87","기분을 관리하면 인생이 관리된다 :김다슬 에세이 ","지은이: 김다슬","클라우디아","2022","","9791196617127","98",
"87","돈의 심리학 :당신은 왜 부자가 되지 못했는가 ","모건 하우절 지음 ;이지연 옮김","인플루엔셜","2021","","9791191056372","98",
"87","소크라테스 익스프레스 :철학이 우리 인생에 스며드는 순간 ","에릭 와이너 지음 ;김하현 옮김","어크로스(어크로스출판그룹)","2021","","9791190030922","98",
"87","오십에 읽는 논어 :굽이치는 인생을 다잡아 주는 공자의 말 ","최종엽 지음","유노북스","2021","","9791190826839","98",
"91","(오은영의) 화해 :상처받은 내면의 나와 마주하는 용기 ","오은영 지음","대성","2019","","9788997396870","97",
"91","구의 증명 :최진영 소설 ","지은이: 최진영","은행나무","2015","","9788956608556","97",
"91","도파민네이션 :쾌락 과잉 시대에서 균형 찾기 ","애나 렘키 지음 ;김두완 옮김","흐름출판","2022","","9788965965046","97",
"91","알래스카 한의원 :이소영 장편소설 ","지은이: 이소영","사계절(사계절출판사)","2023","","9791169811279","97",
"91","타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략 ","팀 페리스 지음 ;정지현 옮김","Tornado(토네이도)","2017","","9791158510619","97",
"96","당신은 결국 무엇이든 해내는 사람 :김상현 에세이 ","지은이: 김상현","필름(필름출판사)","2022","","9791188469994","96",
"97","영어책 한 권 외워봤니? :딱 한 권만 넘으면 영어 울렁증이 사라진다 ","김민식 지음","위즈덤하우스","2017","","9788960863132","95",
"98","조선 미술관 :풍속화와 궁중기록화로 만나는 문화 절정기 조선의 특별한 순간들 ","탁현규 지음","백도씨","2023","","9788968334177","94",
"98","지구 끝의 온실 :김초엽 장편소설 ","지은이: 김초엽","Giant Books(자이언트북스)","2021","","9791191824001","94",
"98","트렌드 코리아 2023 :더 높은 도약을 준비하는 검은 토끼의 해 ","지은이: 김난도,추예린","미래의창","2022","","9788959897094","94",
"101","원청 :위화 장편소설 ","지은이: 위화 ;옮긴이: 문현선","푸른숲","2022","","9791156751298","93",
"102","2023 제14회 젊은작가상 수상작품집","이미상, 김멜라, 성혜령, 이서수, 정선임, 함윤이, 현호정 (지은이)","문학동네","2023","","9788954691741","92",
"102","아주 세속적인 지혜 - 400년 동안 사랑받은 인생의 고전","발타자르 그라시안 (지은이), 강정선 (옮긴이)","페이지2(page2)","2023","","9791169850179","92",
"102","트러스트 :에르난 디아스 장편소설 ","지은이: 에르난 디아스 ;옮긴이: 강동혁","문학동네","2023","","9788954691673","92",
"105","굿 걸 배드 걸 ","지은이: 마이클 로보텀 ;옮긴이: 최필원","더난콘텐츠그룹","2023","","9791158792022","91",
"105","그대 늙어가는 것이 아니라 익어가는 것이다 ","오평선 지음","콘텐츠그룹 포레스트","2022","","9791192625188","91",
"105","작별하지 않는다 :한강 장편소설 ","지은이: 한강","문학동네","2021","","9788954682152","91",
"105","훌훌 :문경민 장편소설 ","지은이: 문경민","문학동네","2022","","9788954685030","91",
"109","너무 잘하려고 애쓰지 마라 :나태주 시집 ","지은이: 나태주","열림원","2022","","9791170400608","90",
"109","마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche ","장재형 지음","유노콘텐츠그룹","2022","","9791192300245","90",
"109","참 괜찮은 태도 :15년 동안 길 위에서 만난 수많은 사람들에게 배운 삶의 의미 ","지은이: 박지현 ;일러스트: 오하이오","메이븐","2022","","9791190538480","90",
"109","천 개의 파랑 :천선란 장편소설 ","지은이: 천선란","허블","2020","","9791190090261","90",
"113","쇼코의 미소 :최은영 소설 ","지은이: 최은영","문학동네","2016","","9788954641630","88",
"113","오십의 기술 - 나이 들수록 재미, 가족, 관계, 행복, 품격, 지식이 높아지는","이호선 (지은이)","카시오페아","2023","","9791168271043","88",
"113","챗GPT에게 묻는 인류의 미래 :김대식 교수와 생성인공지능의 대화 ","지은이: 김대식,추서연","동아시아","2023","","9788962624847","88",
"116","부부가 둘 다 잘 먹었습니다 :성북동 소행성 부부의 일상 식사 일기 ","윤혜자 지음","Mons(몽스북)","2023","","9791191401684","87",
"116","부자 아빠 가난한 아빠 :20주년 특별 기념판 ","지은이: 로버트 기요사키 ;옮긴이: 안진환","민음인","2018","","9791158883591","87",
"116","소년이 온다 :한강 장편소설 ","지은이: 한강","창비","2014","","9788936434120","87",
"119","열 번 잘해도 한 번 실수로 무너지는 게 관계다 :김다슬 에세이 ","지은이: 김다슬","필름","2023","","9791196617141","86",
"120","기분이 태도가 되지 말자 - 감정조절이 필요한 당신을 위한 책","김수현 (지은이)","하이스트","2022","","9791197647666","85",
"120","맡겨진 소녀","클레어 키건 (지은이), 허진 (옮긴이)","다산책방","2023","","9791130698199","85",
"120","선량한 차별주의자 ","김지혜 지음","창비","2019","","9788936477196","85",
"123","50대에 도전해서 부자 되는 법 :돈 버는 습관, 수입 창출, 노후 준비까지 ","서미숙 지음","유노콘텐츠그룹","2022","","9791190826990","84",
"123","내가 가진 것을 세상이 원하게 하라 - 최인아 대표가 축적한 일과 삶의 인사이트","최인아 (지은이)","해냄","2023","","9791167140609","84",
"123","더 좋은 삶을 위한 철학 ","지은이: 마이클 슈어 ;옮긴이: 염지선","김영사","2023","","9788934965909","84",
"123","방구석 미술관","조원재 지음","백도씨","2020","2","9788968332845","84",
"123","백년허리 :백년 동안 간직할 허리 사용설명서 ","저자: 정선근","언탱글링","2021","2","9791197437311","84",
"123","사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ","지은이: 유발 하라리 ;옮긴이: 조현욱","김영사","2015","","9788934972464","84",
"129","나는 나로 살기로 했다 :냉담한 현실에서 어른살이를 위한 to do list ","글·그림: 김수현","마음의숲","2016","","9791187119845","83",
"129","살 때, 팔 때, 벌 때 =여의도 닥터둠 강영현이 공개하는 진격의 주식 투자 타이밍 /Timing to buy, sell, make a fortune ","강영현 지음","21세기북스(북이십일 21세기북스)","2023","","9788950960667","83",
"129","식사가 잘못됐습니다 :의사가 가르쳐주는 최강의 식사 교과서 ","마키타 젠지 지음 ;전선영 옮김","더난콘텐츠그룹","2018","","9788984059436","83",
"129","유럽도시기행","지은이: 유시민","아름다운사람들","2019","1","9788965135586","83",
"129","저만치 혼자서 :김훈 소설 ","지은이: 김훈","문학동네","2022","","9788954686921","83",
"134","아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ","제임스 클리어 지음 ;이한이 옮김","비즈니스북스","2019","","9791162540640","82",
"134","작은 땅의 야수들 :김주혜 장편소설 ","지은이: 김주혜 ;옮긴이: 박소현","다산북스","2022","","9791130693927","82",
"134","채식주의자:한강 연작소설","한강","창비","2007","","9788936433598","82",
"134","최재천의 공부 :어떻게 배우며 살 것인가 ","지은이: 최재천,안희경","김영사","2022","2","9788934943457","82",
"138","N ","지은이: 미치오 슈스케 ;옮긴이: 이규원","북스피어","2023","","9791192313177","81",
"138","세상 끝의 카페 ","존 스트레레키 지음 ;고상숙 옮김","클레이하우스","2023","","9791198173812","81",
"138","재수사 :장강명 장편소설 ","지은이: 장강명","은행나무","2022","1","9791167372017","81",
"138","종의 기원 =정유정 장편소설 /The origin of species ","지은이: 정유정","은행나무","2016","","9788956609959","81",
"138","하쿠다 사진관 :허태연 장편소설 ","지은이: 허태연","다산북스","2022","","9791130692258","81",
"143","[큰글자책] 불편한 편의점:김호연 장편소설","김호연 지음","","","","9791161571355","80",
"143","가모 저택 사건 ","지은이: 미야베 미유키 ;옮긴이: 이기웅","북스피어","2023","","9791192313290","80",
"143","홍학의 자리 :정해연 장편소설 ","지은이: 정해연","문학동네","2021","","9788954681155","80",
"146","공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가 ","마이클 샌델 지음 ;함규진 옮김","미래엔","2020","","9791164136452","79",
"146","브라질에 비가 내리면 스타벅스 주식을 사라 :경제의 큰 흐름에서 기회를 잡는 매크로 투자 가이드 ","피터 나바로 지음 ;이창식 옮김","에프엔미디어","2022","","9791188754588","79",
"146","사장학개론 ","지은이: 김승호","스노우폭스북스","2023","","9791188331888","79",
"146","아주 오랜만에 행복하다는 느낌 :백수린 에세이 ","지은이: 백수린","창비","2022","","9788936438869","79",
"146","오직 두 사람 :김영하 소설 ","지은이: 김영하","문학동네","2017","","9788954645614","79",
"146","지금 이대로 좋다 ","법륜 지음 ;박정은 그림","정토출판","2019","","9791187297239","79",
"152","김경일의 지혜로운 인간생활 :님을 위한 행복한 인간관계 지침서 ","김경일 지음","저녁달","2022","","9791189217136","78",
"152","시어머니 유품정리 ","가키야 미우 지음 ;강성욱 옮김","문예춘추사","2022","","9788976045683","78",
