제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"1","오늘 밤, 세계에서 이 사랑이 사라진다 해도 ","이치조 미사키 지음 ;권영주 옮김","바이포엠","2021","","9791191043297","114",
"2","지구 끝의 온실 :김초엽 장편소설 ","지은이: 김초엽","Giant Books(자이언트북스)","2021","","9791191824001","109",
"3","구의 증명 :최진영 소설 ","지은이: 최진영","은행나무","2015","","9788956608556","106",
"3","달러구트 꿈 백화점.이미예 장편소설 ","지은이: 이미예","팩토리나인","2020","1-2 :","9791165341909","106",
"5","어느 날, 내 죽음에 네가 들어왔다 ","세이카 료겐 지음 ;김윤경 옮김","바이포엠 스튜디오","2022","","9791191043723","101",
"6","불편한 편의점 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2021","","9791161571188","84",
"6","선량한 차별주의자 ","김지혜 지음","창비","2019","","9788936477196","84",
"6","우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ","지은이: 김초엽","허블","2019","","9791190090018","84",
"9","미적분으로 바라본 하루 :일상 속 어디에나 있는 수학 찾기 ","오스카 E. 페르난데스 지음 ;김수환 옮김","프리렉","2015","","9788965400912","83",
"10","종의 기원 =정유정 장편소설 /The origin of species ","지은이: 정유정","은행나무","2016","","9788956609959","81",
"11","달러구트 꿈 백화점.이미예 장편소설 ","지은이: 이미예","팩토리나인","2020","2","9791165343729","80",
"11","오늘 밤, 세계에서 이 눈물이 사라진다 해도 ","이치조 미사키 지음 ;김윤경 옮김","바이포엠 스튜디오","2022","","9791191043976","80",
"13","아몬드손원평 장편소설","손원평","창비","2017","22","9788936434267","79",
"14","세계를 건너 너에게 갈게 :이꽃님 장편소설 ","글쓴이: 이꽃님","문학동네","2018","","9788954650212","74",
"15","죽이고 싶은 아이 :이꽃님 장편소설 ","지은이: 이꽃님","우리학교","2021","","9791190337755","72",
"16","미적분의 쓸모 :미래를 예측하는 새로운 언어 ","한화택 지음","길벗","2021","","9791165215491","70",
"17","난장이가 쏘아올린 작은 공:조세희 소설집","조세희","이성과 힘","2000","","9788995151204","66",
"17","페인트 :이희영 장편소설 ","지은이: 이희영","창비","2019","","9788936456894","66",
"19","칵테일, 러브, 좀비 ","지은이: 조예은","안전가옥","2020","","9791190174756","64",
"20","물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ","룰루 밀러 지음 ;정지인 옮김","곰출판","2021","","9791189327156","62",
"20","어서오세요, 휴남동 서점입니다 :황보름 장편소설 ","지은이: 황보름","클레이하우스","2022","","9791197377143","62",
"20","체리새우 :황영미 장편소설 ","지은이: 황영미","문학동네","2019","","9788954654753","62",
"23","데미안 ","지은이: 헤르만 헤세 ;옮긴이: 전영애","민음사","2000","","9788937460449","60",
"24","미드나잇 라이브러리 ","매트 헤이그 지음 ;노진선 옮김","인플루엔셜","2021","","9791191056556","59",
"24","천 개의 파랑 :천선란 장편소설 ","지은이: 천선란","허블","2020","","9791190090261","59",
"26","수학이 필요한 순간 :인간은 얼마나 깊게 생각할 수 있는가 ","지은이: 김민형","인플루엔셜","2018","","9791186560785","58",
"27","X의 즐거움 :인생을 해석하고 지성을 자극하는 수학 여행 ","스티븐 스트로가츠 지음 ;이충호 옮김","웅진씽크빅","2014","","9788901165813","57",
"27","수학, 인문으로 수를 읽다 ","이광연 지음","한국문학사","2014","","9788987527376","57",
"29","우리집에 화학자가 산다 :김민경 교수의 생활 속 화학이야기 ","김민경 지음","Humanist(휴머니스트 출판그룹)","2019","","9791160802160","56",
"29","인간 실격","다자이 오사무 지음;김춘미 옮김","민음사","2004","","9788937461033","56",
"29","침묵의 봄 ","지은이: 레이첼 카슨 ;옮긴이: 김은령","에코리브르","2011","","9788962630619","56",
"32","당연하게도 나는 너를","이꽃님 (지은이)","우리학교","2023","","9791167550972","55",
"32","오백 년째 열다섯 :김혜정 장편소설 ","글: 김혜정","위즈덤하우스","2022","","9791168121065","55",
"34","바깥은 여름 :김애란 소설 ","지은이: 김애란","문학동네","2017","","9788954646079","54",
"35","세상의 마지막 기차역 ","무라세 다케시 지음 ;김지연 옮김","바이포엠 스튜디오","2022","","9791191043754","53",
"35","트로피컬 나이트 =조예은 소설집 /Tropical night ","지은이: 조예은","한겨레엔","2022","","9791160408331","53",
"37","나는 간호사, 사람입니다 :단 한번의 실수도 허락하지 않는 삶을 사는 사람들의 이야기 ","김현아 지음","쌤앤파커스","2018","","9788965706137","52",
"37","회색 인간 ","지은이: 김동식","요다","2017","","9791196222628","52",
"39","독고솜에게 반하면 - 제10회 문학동네청소년문학상 대상 수상작","허진희 (지은이)","문학동네","2020","","9788954670302","50",
"39","생기부 필독서 100 - 현직 고등학교 선생님들이 직접 고른","주경아, 정재화, 방희조, 이재환, 이현규 (지은이)","센시오","2023","","9791166570957","50",
"39","소년이 온다 :한강 장편소설 ","지은이: 한강","창비","2014","","9788936434120","50",
"42","나미야 잡화점의 기적 :히가시노 게이고 장편소설 ","지은이: 히가시노 게이고 ;옮긴이: 양윤옥","현대문학","2012","","9788972756194","49",
"42","쇼코의 미소 :최은영 소설 ","지은이: 최은영","문학동네","2016","","9788954641630","49",
"44","통계학, 빅데이터를 잡다 ","조재근 지음","한국문학사","2017","","9788987527598","48",
"45","공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가 ","마이클 샌델 지음 ;함규진 옮김","미래엔","2020","","9791164136452","47",
"45","이상한 수학책 :그림으로 이해하는 일상 속 수학 개념들 ","벤 올린 지음 ;김성훈 옮김","북라이프","2020","","9791188850808","47",
"45","해가 지는 곳으로 :최진영 장편소설 ","지은이: 최진영","민음사","2017","","9788937473166","47",
"48","가짜 모범생 :손현주 장편소설 ","지은이: 손현주","특별한서재","2021","","9791167030313","46",
"48","미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 ","기시미 이치로,전경아 옮김","인플루엔셜","2014","","9788996991342","46",
"48","아가미 :구병모 장편소설 ","지은이: 구병모","위즈덤하우스","2018","","9791162203392","46",
"48","아버지의 해방일지 :정지아 장편소설 ","지은이: 정지아","창비","2022","","9788936438838","46",
"48","튜브 :손원평 장편소설 ","지은이: 손원평","창비","2022","","9788936434625","46",
"53","이기적 유전자 ","리처드 도킨스 지음 ;이상임 옮김","을유문화사","2018","","9788932473901","45",
"54","(이해하는) 미적분 수업 ","데이비드 애치슨 지음 ;김의석 옮김","바다출판사","2020","","9791189932473","44",
"54","세상은 온통 화학이야 ","마이 티 응우옌 킴 지음 ;배명자 옮김","한경BP","2019","","9788947545150","44",
"54","순례 주택 :유은실 소설 ","지은이: 유은실","비룡소","2021","","9788949123493","44",
"54","화학으로 이루어진 세상","K. 메데페셀헤르만,권세훈 옮김","에코리브르","2007","","9788990048820","44",
"58","불편한 편의점 :김호연 장편소설","지은이: 김호연","나무옆의자","2022","2","9791161571379","42",
"58","생명의 수학 :21세기 수학과 생물학의 혁명 ","지은이: 이언 스튜어트 ;옮긴이: 안지민","사이언스북스","2015","","9788983717412","42",
"58","수학의 쓸모 :불확실한 미래에서 보통 사람들도 답을 얻는 방법 ","닉 폴슨,노태복 옮김","길벗","2020","","9791165210991","42",
"58","채식주의자:한강 연작소설","한강","창비","2007","","9788936433598","42",
"62","1984","조지 오웰 지음;정회성 옮김","민음사","2003","","9788937460777","41",
"62","살인자의 기억법 :김영하 장편소설 ","지은이: 김영하","문학동네","2013","","9788954622035","41",
"62","세계를 바꾼 17가지 방정식 :위대한 방정식에 담긴 영감과 통찰 ","지은이: 이언 스튜어트 ;옮긴이: 김지선","사이언스북스","2016","","9788983717436","41",
"62","여기는 커스터드, 특별한 도시락을 팝니다 ","가토 겐 지음 ;양지윤 옮김","필름(필름 출판사)","2022","","9791192403076","41",
"62","행운이 너에게 다가오는 중 :이꽃님 장편소설 ","지은이: 이꽃님","문학동네","2020","","9788954675314","41",
"62","훌훌 :문경민 장편소설 ","지은이: 문경민","문학동네","2022","","9788954685030","41",
"68","고요한 우연 - 제13회 문학동네청소년문학상 대상 수상작","김수빈 (지은이)","문학동네","2023","","9788954691154","40",
"68","더 이상한 수학책 :펼치는 순간 단숨에 이해되는 미적분의 비밀 ","벤 올린 지음 ;이경민 옮김","북라이프","2021","","9791191013122","40",
"68","미술관에 간 수학자 :캔버스에 숨겨진 수학의 묘수를 풀다 ","이광연 지음","어바웃어북","2018","","9791187150350","40",
"68","수학이 일상에서 이렇게 쓸모 있을 줄이야 :신발 끈을 매다 수학이 생각났다 ","클라라 그리마 지음 ;일러스트: 라켈 구","다온북스","2018","","9791185439068","40",
"68","언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다 ","지은이: 이기주","말글터","2016","","9791195522125","40",
"68","지구에서 한아뿐 :정세랑 장편소설 ","지은이: 정세랑","난다","2019","","9791188862290","40",
"74","방금 떠나온 세계 :김초엽 소설집 ","지은이: 김초엽","한겨레엔","2021","","9791160406504","39",
"74","서울대생의 비밀과외 - 무조건 통하는 전교 1등의 합격 루틴","소린TV(안소린) (지은이)","다산에듀","2023","","9791130697550","39",
"74","왜 세계의 절반은 굶주리는가? :유엔 식량특별조사관이 아들에게 들려주는 기아의 진실 ","장 지글러 지음 ;유영미 옮김","갈라파고스","2016","","9791187038030","39",
"74","이런 수학은 처음이야 :읽다 보면 저절로 개념이 잡히는 놀라운 이야기 ","최영기 지음","북이십일","2020","","9788950993016","39",
"74","이토록 공부가 재미있어지는 순간 :공부에 지친 청소년들을 위한 힐링 에세이 ","박성혁 지음","다산북스","2015","","9791130604626","39",
"74","파란 하늘 빨간 지구 =기후변화와 인류세, 지구시스템에 관한 통합적 논의 /Blue sky red earth ","조천호 지음","동아시아","2019","","9788962622713","39",
"80","멋진 신세계 ","올더스 헉슬리 지음 ;안정효 옮김","태일소담","2015","","9788973814725","38",
"80","세계사를 바꾼 10가지 약 ","사토 겐타로 지음 ;서수지 옮김","사람과나무사이","2018","","9791188635108","38",
"80","완전한 행복 :정유정 장편소설 ","지은이: 정유정","은행나무","2021","","9791167370280","38",
"80","인류를 구한 12가지 약 이야기 :마취제에서 항암제까지, 고통과 두려움에서 벗어나게 해준 치료약의 역사 ","정승규 지음","반니","2019","","9791189653187","38",
"80","지적 대화를 위한 넓고 얕은 지식 0 :지혜를 찾아 138억 년을 달리는 시간 여행서 ","채사장 지음","Whale Books(웨일북)","2019","","9791190313131","38",
"85","두 번째 지구는 없다 ","글·그림: 타일러 라쉬","RHK(알에이치코리아)","2020","","9788925556253","37",
"85","정의란 무엇인가 ","지은이: 마이클 샌델 ;옮긴이: 김명철","미래엔","2014","","9788937834790","37",
"85","책들의 부엌 :김지혜 장편소설 ","지은이: 김지혜","팩토리나인","2022","","9791165345204","37",
"88","(법칙, 원리, 공식을 쉽게 정리한) 수학 사전 =Mathematics formula theorem law ","와쿠이 요시유키 지음 ;김정환 옮김","그린북","2017","","9788955883404","36",
"88","바다가 들리는 편의점 ","마치다 소노코 지음 ;황국영 옮김","바이포엠 스튜디오","2023","","9791192579504","36",
"88","밝은 밤 :최은영 장편소설 ","지은이: 최은영","문학동네","2021","","9788954681179","36",
"88","수레바퀴 아래서 ","지은이: 헤르만 헤세 ;옮긴이: 김이섭","민음사","2001","","9788937460500","36",
"88","수상한 중고상점 :미치오 슈스케 장편소설 ","지은이: 미치오 슈스케 ;옮긴이: 김은모","다산북스","2022","","9791130689241","36",
"88","호밀밭의 파수꾼","제롬 데이비드 샐린저 지음;공경희 옮김","민음사","2001","","9788937460470","36",
"94","봉제인형 살인사건 :다니엘 콜 장편소설 ","저자: 다니엘 콜 ;옮긴이: 유혜인","Book plaza(북플라자)","2017","","9788998274931","35",
"94","수학의 언어로 세상을 본다면 :수학자 아버지가 들려주는 수학으로 본 세계 ","오구리 히로시 지음 ;고선윤 옮김","바다출판사","2017","","9788955619317","35",
"94","화학, 알아두면 사는 데 도움이 됩니다 ","씨에지에양 지음 ;김락준 옮김","지식너머","2019","","9788952798398","35",
"97","다정한 것이 살아남는다 ","지은이: 브라이언 헤어,옮긴이: 이민아","디플롯","2021","","9791197413025","34",
"97","돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설 ","저자: 야쿠마루 가쿠 ;옮긴이: 김성미","Book plaza(북플라자)","2017","","9788998274795","34",
"97","미적분의 힘 :복잡한 세상을 푸는 단순하고 강력한 도구 ","스티븐 스트로가츠 지음 ;이충호 옮김","북하우스 퍼블리셔스","2021","","9791164051335","34",
"97","비행운 :김애란 소설집 ","지은이: 김애란","문학과지성사","2012","","9788932023151","34",
"97","시선으로부터, :정세랑 장편소설 ","지은이: 정세랑","문학동네","2020","","9788954672214","34",
"97","신은 주사위 놀이를 하지 않는다 :로또부터 진화까지, 우연한 일들의 법칙 ","데이비드 핸드 지음 ;전대호 옮김","길벗","2016","","9791186978801","34",
