제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"1","아버지의 해방일지 :정지아 장편소설 ","지은이: 정지아","창비","2022","","9788936438838","196",
"2","생에 감사해 ","지은이: 김혜자","수오서재","2022","","9791190382915","153",
"3","불편한 편의점 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2021","","9791161571188","139",
"4","불편한 편의점 :김호연 장편소설","지은이: 김호연","나무옆의자","2022","2","9791161571379","129",
"5","작별인사 :김영하 장편소설 ","지은이: 김영하","복복서가","2022","","9791191114225","124",
"6","하얼빈 :김훈 장편소설 ","지은이: 김훈","문학동네","2022","","9788954699914","117",
"7","파친코 :이민진 장편소설","이민진 지음 ;이미정 옮김","문학사상","2018","1","9788970129815","109",
"8","파친코 :이민진 장편소설","이민진 지음 ;이미정 옮김","문학사상","2018","2","9788970129822","91",
"9","당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게 ","정희원 지음","길벗","2023","","9791140702589","88",
"10","만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42 ","김혜남 지음","메이븐","2022","","9791190538510","83",
"11","희망의 끈","히가시노 게이고 (지은이), 김난주 (옮긴이)","재인","2022","","9791192483146","79",
"12","어서오세요, 휴남동 서점입니다 :황보름 장편소설 ","지은이: 황보름","클레이하우스","2022","","9791197377143","78",
"13","이어령의 마지막 수업 ","김지수 지음","열림원","2021","","9791170400523","75",
"14","밝은 밤 :최은영 장편소설 ","지은이: 최은영","문학동네","2021","","9788954681179","74",
"15","80세의 벽 :벽을 넘어서면 인생에서 가장 행복한 20년이 기다린다 ","와다 히데키 지음 ;김동연 옮김","한즈미디어","2022","","9791160078671","73",
"16","고래:천명관 장편소설","천명관 지음","문학동네","2004","","9788982819278","70",
"16","이토록 평범한 미래 :김연수 소설 ","지은이: 김연수","문학동네","2022","","9788954680004","70",
"18","세이노의 가르침","세이노 (지은이)","데이원","2023","","9791168473690","68",
