제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"58","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","슈크림북","2021","1","9791190409124","263",
"58","할머니의 여름휴가","안녕달","창비","2016","","9788936454951","263",
"60","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","4","9791164138425","260",
"61","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","2","9791164136438","257",
"62","슈퍼 토끼 :유설화 그림책 ","유설화 글·그림","책읽는곰","2020","","9791158361839","256",
"62","어린이라는 세계 :김소영 에세이 ","지은이: 김소영","사계절(사계절출판사)","2020","","9791160946918","256",
"64","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","3","9791164137435","255",
"65","슈퍼 거북 ","유설화 글·그림","책읽는곰","2014","","9788993242980","254",
"66","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","5","9791164139750","253",
"66","지구 끝의 온실 :김초엽 장편소설 ","지은이: 김초엽","Giant Books(자이언트북스)","2021","","9791191824001","253",
"68","달 샤베트 ","지은이: 백희나","책읽는곰","2014","","9791185564074","252",
"69","순례 주택 :유은실 소설 ","지은이: 유은실","비룡소","2021","","9788949123493","251",
"69","연이와 버들 도령 ","백희나","책읽는곰","2022","","9791158362836","251",
"71","둥실이네 떡집 ","김리리 글 ;김이랑 그림","비룡소","2022","","9788949162188","250",
"71","아몬드손원평 장편소설","손원평","창비","2017","22","9788936434267","250",
"71","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","12","9791168414471","250",
"74","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","1","9791164136032","248",
"75","미드나잇 라이브러리 ","매트 헤이그 지음 ;노진선 옮김","인플루엔셜","2021","","9791191056556","247",
"75","양순이네 떡집","김리리 (지은이), 김이랑 (그림)","비룡소","2021","","9788949162102","247",
"77","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","7","9791168412279","246",
"77","카레가 보글보글 ","구도 노리코 글·그림 ;윤수정 옮김","책읽는곰","2020","","9791158361884","246",
"77","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","3","9791164137923","246",
"80","파친코 :이민진 장편소설","이민진 지음 ;이미정 옮김","문학사상","2018","2","9788970129822","245",
"81","달콩이네 떡집 ","김리리 글 ;김이랑 그림","비룡소","2021","","9788949162126","244",
"82","꽁꽁꽁 좀비 ","윤정주 글·그림","책읽는곰","2021","","9791158362478","243",
"82","바다가 들리는 편의점 ","마치다 소노코 지음 ;황국영 옮김","바이포엠 스튜디오","2023","","9791192579504","243",
"84","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","1","9788937838750","242",
"84","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","슈크림북","2021","2","9791190409131","242",
"86","이파라파냐무냐무 :이지은 그림책 ","글·그림: 이지은","사계절(사계절출판사)","2020","","9791160946673","241",
"86","케이크가 커졌어요! ","구도 노리코 글·그림 ;윤수정 옮김","책읽는곰","2021","","9791158362515","241",
"88","(서울 자가에 대기업 다니는) 김 부장 이야기 ","송희구 지음","서삼독","2021","3","9791165344221","239",
"88","흔한남매 불꽃 튀는 우리말 1 - 초등 국어 고수 되기 프로젝트","흔한남매 (원작)|한은호","다산어린이","2021","","9791130635712","239",
"90","(서울 자가에 대기업 다니는) 김 부장 이야기 ","송희구 지음","서삼독","2021","2","9791165344009","238",
"90","만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42 ","김혜남 지음","메이븐","2022","","9791190538510","238",
"90","흔한남매 과학 탐험대 5 : 물리 1","흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)","주니어김영사","2022","","9788934940753","238",
"93","가녀장의 시대 :이슬아 장편소설 ","지은이: 이슬아","문학동네","2022","","9788954688796","237",
"93","흔한남매 과학 탐험대 3 : 인체","흔한남매 (원작), 이재국, 이현진, 서지은 (글), 김덕영 (그림), 정현철, 김희목, 권경아, 최진수, 박준건 (기획)","주니어김영사","2021","","9788934983439","237",
"95","당신은 결국 무엇이든 해내는 사람 :김상현 에세이 ","지은이: 김상현","필름(필름출판사)","2022","","9791188469994","236",
"95","원씽 :복잡한 세상을 이기는 단순함의 힘 ","게리 켈러,구세희 옮김","비즈니스북스","2013","","9788997575169","236",
"97","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","2","9791164137121","235",
"98","꽁꽁꽁 피자 ","윤정주 글·그림","책읽는곰","2020","","9791158361907","234",
"99","여행의 이유 :김영하 산문 ","지은이: 김영하","문학동네","2019","","9788954655972","233",
"100","(오은영 박사가 전하는) 금쪽이들의 진짜 마음속 ","오은영 지음","Oeun(오은라이프사이언스)","2022","","9791192255323","232",
"100","으라차차 라면 가게 ","구도 노리코 글·그림 ;윤수정 옮김","책읽는곰","2022","","9791158363475","232",
"102","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","4","9788936448134","230",
"102","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","5","9791168410848","230",
"104","마당이 있는 집 ","김진영 지음","문학동네","2018","","9788954651059","229",
"104","슈퍼 히어로의 똥 닦는 법 ","안영은 글 ;최미란 그림","책읽는곰","2018","","9791158360931","229",
"106","건전지 아빠 :전승배·강인숙 그림책 ","지은이: 전승배,강인숙","창비","2021","","9788936455668","227",
"106","타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략 ","팀 페리스 지음 ;정지현 옮김","Tornado(토네이도)","2017","","9791158510619","227",
"108","랑랑 형제 떡집 ","김리리 글 ;김이랑 그림","비룡소","2022","","9788949162485","225",
"108","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","1","9791195794799","225",
"108","아이스크림이 꽁꽁 ","구도 노리코 글·그림 ;윤수정 옮김","책읽는곰","2018","","9791158360986","225",
"108","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","8","9791168414075","225",
"112","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","10","9791164137053","224",
"113","이토록 평범한 미래 :김연수 소설 ","지은이: 김연수","문학동네","2022","","9788954680004","223",
"114","나미야 잡화점의 기적 :히가시노 게이고 장편소설 ","지은이: 히가시노 게이고 ;옮긴이: 양윤옥","현대문학","2012","","9788972756194","222",
"114","세이노의 가르침","세이노 (지은이)","데이원","2023","","9791168473690","222",
"116","용기를 내, 비닐장갑! :유설화 그림책 ","유설화","책읽는곰","2021","","9791158362249","221",
"117","마음버스 ","글: 김유 ;그림: 소복이","천개의바람","2022","","9791165732257","220",
"118","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","슈크림북","2021","3","9791190409148","219",
"118","흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트","원작: 흔한남매 ;그림: 유희석","다산북스","2021","3","9791130640280","219",
"120","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","4","9788937848247","218",
"120","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","슈크림북","2021","4","9791190409261","218",
"122","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","1","9791168412248","217",
"122","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","2","9791168413955","217",
"124","숲속 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2021","","9788966351411","216",
"124","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","6","9791168411852","216",
"126","친구의 전설 :이지은 그림책 ","글·그림: 이지은","웅진씽크빅","2021","","9788901251226","215",
"127","프로젝트 헤일메리 ","앤디 위어 지음 ;강동혁 옮김","RHK(알에이치코리아)","2021","","9788925588735","214",
"127","흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트","원작: 흔한남매 ;그림: 유희석","다산북스","2021","2","9791130637594","214",
"129","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","2","9788937853470","213",
"129","겨울 이불 :안녕달 그림책 ","지은이: 안녕달","창비","2023","","9788936455965","213",
"129","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","4","9791164138982","213",
"132","부자 아빠 가난한 아빠 :20주년 특별 기념판 ","지은이: 로버트 기요사키 ;옮긴이: 안진환","민음인","2018","","9791158883591","212",
"133","나의 돈 많은 고등학교 친구 - 슈퍼리치와의 대화에서 찾아낸 부자의 길","송희구 (지은이)","서삼독","2023","","9791165347161","211",
"134","거짓말이 뿡뿡, 고무장갑!","유설화 (지은이)","책읽는곰","2023","","9791158364021","210",
"134","건전지 엄마","강인숙, 전승배 (지은이)","창비","2023","","9788936429010","210",
"136","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","7","9791162339466","208",
"136","흔한남매 과학 탐험대 4 : 물질","흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 최진수 (감수), 정현철, 김희목, 권경아, 최진수 (기획)","주니어김영사","2022","","9788934930549","208",
"138","자발적 방관육아 :스스로 공부하는 아이로 키우는 엄마의 이유 있는 게으름 ","최은아 지음","쌤앤파커스","2023","","9791165346805","207",
