제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"1","불편한 편의점 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2021","","9791161571188","52",
"2","오늘 밤, 세계에서 이 사랑이 사라진다 해도 ","이치조 미사키 지음 ;권영주 옮김","바이포엠","2021","","9791191043297","49",
"3","아몬드손원평 장편소설","손원평","창비","2017","22","9788936434267","46",
"4","체리새우 :황영미 장편소설 ","지은이: 황영미","문학동네","2019","","9788954654753","45",
"5","어느 날, 내 죽음에 네가 들어왔다 ","세이카 료겐 지음 ;김윤경 옮김","바이포엠 스튜디오","2022","","9791191043723","44",
"6","원피스 1 (동터오는 모험 시대)","오다 에이치로","대원씨아이","1999","","9788925285641","41",
"7","순례 주택 :유은실 소설 ","지은이: 유은실","비룡소","2021","","9788949123493","39",
"8","수학이 필요한 순간 :인간은 얼마나 깊게 생각할 수 있는가 ","지은이: 김민형","인플루엔셜","2018","","9791186560785","38",
"9","난장이가 쏘아올린 작은 공:조세희 소설집","조세희","이성과 힘","2000","","9788995151204","37",
"9","어서오세요, 휴남동 서점입니다 :황보름 장편소설 ","지은이: 황보름","클레이하우스","2022","","9791197377143","37",
"11","달러구트 꿈 백화점.이미예 장편소설 ","지은이: 이미예","팩토리나인","2020","1-2 :","9791165341909","35",
"12","미적분으로 바라본 하루 :일상 속 어디에나 있는 수학 찾기 ","오스카 E. 페르난데스 지음 ;김수환 옮김","프리렉","2015","","9788965400912","33",
"12","미적분의 쓸모 :미래를 예측하는 새로운 언어 ","한화택 지음","길벗","2021","","9791165215491","33",
"14","불편한 편의점 :김호연 장편소설","지은이: 김호연","나무옆의자","2022","2","9791161571379","32",
"14","오늘 밤, 세계에서 이 눈물이 사라진다 해도 ","이치조 미사키 지음 ;김윤경 옮김","바이포엠 스튜디오","2022","","9791191043976","32",
"16","오백 년째 열다섯 :김혜정 장편소설 ","글: 김혜정","위즈덤하우스","2022","","9791168121065","31",
"16","이기적 유전자 ","리처드 도킨스 지음 ;이상임 옮김","을유문화사","2018","","9788932473901","31",
"18","미적분의 힘 :복잡한 세상을 푸는 단순하고 강력한 도구 ","스티븐 스트로가츠 지음 ;이충호 옮김","북하우스 퍼블리셔스","2021","","9791164051335","30",
"18","인간 실격","다자이 오사무 지음;김춘미 옮김","민음사","2004","","9788937461033","30",
"18","지적 대화를 위한 넓고 얕은 지식 0 :지혜를 찾아 138억 년을 달리는 시간 여행서 ","채사장 지음","Whale Books(웨일북)","2019","","9791190313131","30",
"18","페인트 :이희영 장편소설 ","지은이: 이희영","창비","2019","","9788936456894","30",
"22","메리골드 마음 세탁소","윤정은 (지은이)","북로망스","2023","","9791191891287","29",
"22","서울대생의 비밀과외 - 무조건 통하는 전교 1등의 합격 루틴","소린TV(안소린) (지은이)","다산에듀","2023","","9791130697550","29",
"22","세계를 건너 너에게 갈게 :이꽃님 장편소설 ","글쓴이: 이꽃님","문학동네","2018","","9788954650212","29",
"22","이상한 수학책 :그림으로 이해하는 일상 속 수학 개념들 ","벤 올린 지음 ;김성훈 옮김","북라이프","2020","","9791188850808","29",
"26","생기부 필독서 100 - 현직 고등학교 선생님들이 직접 고른","주경아, 정재화, 방희조, 이재환, 이현규 (지은이)","센시오","2023","","9791166570957","28",
"26","세상의 마지막 기차역 ","무라세 다케시 지음 ;김지연 옮김","바이포엠 스튜디오","2022","","9791191043754","28",
"26","수학의 쓸모 :불확실한 미래에서 보통 사람들도 답을 얻는 방법 ","닉 폴슨,노태복 옮김","길벗","2020","","9791165210991","28",
"26","죽이고 싶은 아이 :이꽃님 장편소설 ","지은이: 이꽃님","우리학교","2021","","9791190337755","28",
