제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"1","불편한 편의점 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2021","","9791161571188","1288",
"2","불편한 편의점 :김호연 장편소설","지은이: 김호연","나무옆의자","2022","2","9791161571379","1181",
"3","아버지의 해방일지 :정지아 장편소설 ","지은이: 정지아","창비","2022","","9788936438838","1126",
"4","(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업 ","김미경 지음","엠케이유니버스","2023","","9791198013026","1027",
"5","순례 주택 :유은실 소설 ","지은이: 유은실","비룡소","2021","","9788949123493","739",
"6","긴긴밤 ","루리 글·그림","문학동네","2021","","9788954677158","738",
"7","어서오세요, 휴남동 서점입니다 :황보름 장편소설 ","지은이: 황보름","클레이하우스","2022","","9791197377143","737",
"8","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","5","9788936448370","704",
"9","달러구트 꿈 백화점.이미예 장편소설 ","지은이: 이미예","팩토리나인","2020","1-2 :","9791165341909","668",
"10","메리골드 마음 세탁소","윤정은 (지은이)","북로망스","2023","","9791191891287","663",
"11","체리새우 :황영미 장편소설 ","지은이: 황영미","문학동네","2019","","9788954654753","638",
"12","역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 ","자청 지음","웅진씽크빅","2022","","9788901260716","619",
"13","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","4","9791164134847","618",
"14","랑랑 형제 떡집 ","김리리 글 ;김이랑 그림","비룡소","2022","","9788949162485","594",
"15","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","1","9788936447694","589",
"16","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","7","9791164137527","588",
"17","둥실이네 떡집 ","김리리 글 ;김이랑 그림","비룡소","2022","","9788949162188","581",
"18","스즈메의 문단속 ","신카이 마코토 지음 ;민경욱 옮김","대원씨아이","2023","","9791169791977","579",
"19","만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42 ","김혜남 지음","메이븐","2022","","9791190538510","576",
"20","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","8","9791164138197","575",
"21","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","11","9791168412477","572",
"22","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","1","9791164131686","563",
"23","소원 떡집 ","김리리 글 ;이승현 그림","비룡소","2020","","9788949162058","562",
"24","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","10","9791168411685","558",
"25","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","9","9791164139897","555",
"26","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","4","9788936448134","551",
"27","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","5","9791164135592","546",
"28","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","3","9791164134267","545",
"29","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","6","9791164136261","539",
"30","아몬드손원평 장편소설","손원평","창비","2017","22","9788936434267","531",
"31","작별인사 :김영하 장편소설 ","지은이: 김영하","복복서가","2022","","9791191114225","527",
"32","(서울 자가에 대기업 다니는) 김 부장 이야기 ","송희구 지음","서삼독","2021","1","9791165343996","526",
"33","세이노의 가르침","세이노 (지은이)","데이원","2023","","9791168473690","520",
"34","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","3","9788936448011","516",
"35","하얼빈 :김훈 장편소설 ","지은이: 김훈","문학동네","2022","","9788954699914","513",
"36","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","2","9788936447861","512",
"37","이상한 과자 가게 전천당 17","히로시마 레이코 (지은이), 쟈쟈 (그림), 김정화 (옮긴이)","길벗스쿨","2023","","9791164065097","510",
"38","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","2","9791164132454","509",
"39","어머니, 사교육을 줄이셔야 합니다","정승익 (지은이)","메이트북스","2023","","9791160023909","508",
"40","흔한남매 과학 탐험대","원작: 흔한남매 ;그림: 김덕영","김영사","2021","2","9788934980254","506",
"41","밝은 밤 :최은영 장편소설 ","지은이: 최은영","문학동네","2021","","9788954681179","503",
"42","양순이네 떡집","김리리 (지은이), 김이랑 (그림)","비룡소","2021","","9788949162102","501",
"43","만복이네 떡집 ","김리리 글 ;이승현 그림","비룡소","2010","","9788949161341","499",
"44","스카이 버스 =명문 대학으로 직행하는 초등 공부 전략서 /Sky bus ","분당강쌤 지음","다산북스","2023","","9791130696393","497",
"45","세상의 마지막 기차역 ","무라세 다케시 지음 ;김지연 옮김","바이포엠 스튜디오","2022","","9791191043754","495",
"46","장군이네 떡집 ","김리리 글 ;이승현 그림","비룡소","2020","","9788949162041","494",
"47","파친코 :이민진 장편소설","이민진 지음 ;이미정 옮김","문학사상","2018","1","9788970129815","493",
"48","달콩이네 떡집 ","김리리 글 ;김이랑 그림","비룡소","2021","","9788949162126","492",
"49","이상한 과자 가게 전천당 16","히로시마 레이코 (지은이), 쟈쟈 (그림), 김정화 (옮긴이)","길벗스쿨","2022","","9791164064748","490",
"50","바다가 들리는 편의점 ","마치다 소노코 지음 ;황국영 옮김","바이포엠 스튜디오","2023","","9791192579504","489",
"51","(서울 자가에 대기업 다니는) 김 부장 이야기 ","송희구 지음","서삼독","2021","2","9791165344009","486",
"52","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","12","9791168414471","484",
"53","달러구트 꿈 백화점.이미예 장편소설 ","지은이: 이미예","팩토리나인","2020","2","9791165343729","470",
"54","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","2","9791168413955","465",
"55","흔한남매 과학 탐험대","원작: 흔한남매 ;그림: 김덕영","김영사","2021","1","9788934989257","463",
"56","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","15","9791164064410","460",
"57","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","1","9791164136032","457",
"58","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","슈크림북","2021","1","9791190409124","455",
"59","5번 레인 ","은소홀 글 ;노인경 그림","문학동네","2020","","9788954674638","454",
"60","나의 돈 많은 고등학교 친구 - 슈퍼리치와의 대화에서 찾아낸 부자의 길","송희구 (지은이)","서삼독","2023","","9791165347161","451",
"61","페인트 :이희영 장편소설 ","지은이: 이희영","창비","2019","","9788936456894","448",
"62","(서울 자가에 대기업 다니는) 김 부장 이야기 ","송희구 지음","서삼독","2021","3","9791165344221","447",
"63","세계를 건너 너에게 갈게 :이꽃님 장편소설 ","글쓴이: 이꽃님","문학동네","2018","","9788954650212","446",
"63","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","1","9791168412248","446",
"63","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","6","9791168411852","446",
"66","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","2","9791164137121","442",
"66","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","3","9791164137923","442",
"68","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","슈크림북","2021","2","9791190409131","441",
"69","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","4","9791164138982","438",
"70","당연하게도 나는 너를","이꽃님 (지은이)","우리학교","2023","","9791167550972","437",
"70","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","슈크림북","2021","3","9791190409148","437",
"72","환상서점 :소서림 장편소설 ","지은이: 소서림","해피북스투유","2023","","9791164798926","436",
"73","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","1","9791164060481","432",
