제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"1","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","4","9791164134847","299",
"2","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","5","9791164135592","286",
"2","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","1","9791164131686","286",
"4","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","3","9791164134267","285",
"5","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","9","9791164139897","281",
"6","불편한 편의점 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2021","","9791161571188","279",
"6","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","6","9791164136261","279",
"8","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","7","9791164137527","275",
"9","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","8","9791164138197","260",
"10","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","11","9791168412477","255",
"11","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","2","9791164132454","254",
"12","흔한남매 과학 탐험대","원작: 흔한남매 ;그림: 김덕영","김영사","2021","2","9788934980254","252",
"13","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","6","9791168411852","247",
"14","흔한남매 과학 탐험대","원작: 흔한남매 ;그림: 김덕영","김영사","2021","1","9788934989257","244",
"15","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","7","9791168413931","239",
"16","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","10","9791168411685","232",
"17","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","9","9791164134090","231",
"17","역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 ","자청 지음","웅진씽크빅","2022","","9788901260716","231",
"19","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","3","9791164137923","230",
"20","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","1","9788936447694","229",
"20","흔한남매 과학 탐험대 3 : 인체","흔한남매 (원작), 이재국, 이현진, 서지은 (글), 김덕영 (그림), 정현철, 김희목, 권경아, 최진수, 박준건 (기획)","주니어김영사","2021","","9788934983439","229",
"22","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","1","9791164136032","227",
"23","이상한 과자 가게 전천당 17","히로시마 레이코 (지은이), 쟈쟈 (그림), 김정화 (옮긴이)","길벗스쿨","2023","","9791164065097","224",
"24","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","2","9788936447861","223",
"24","이상한 과자 가게 전천당 16","히로시마 레이코 (지은이), 쟈쟈 (그림), 김정화 (옮긴이)","길벗스쿨","2022","","9791164064748","223",
"24","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","4","9791164138982","223",
"27","하얼빈 :김훈 장편소설 ","지은이: 김훈","문학동네","2022","","9788954699914","222",
"28","아버지의 해방일지 :정지아 장편소설 ","지은이: 정지아","창비","2022","","9788936438838","221",
"28","흔한남매 과학 탐험대 5 : 물리 1","흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)","주니어김영사","2022","","9788934940753","221",
"30","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","5","9791168410848","218",
