제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"1","살 때, 팔 때, 벌 때 =여의도 닥터둠 강영현이 공개하는 진격의 주식 투자 타이밍 /Timing to buy, sell, make a fortune ","강영현 지음","21세기북스(북이십일 21세기북스)","2023","","9788950960667","185",
"2","아버지의 해방일지 :정지아 장편소설 ","지은이: 정지아","창비","2022","","9788936438838","184",
"3","장하준의 경제학 레시피 :마늘에서 초콜릿까지 18가지 재료로 요리한 경제 이야기 ","장하준 지음 ;김희정 옮김","부키","2023","","9788960519794","161",
"4","K 배터리 레볼루션 =향후 3년, 새로운 부의 시장에서 승자가 되는 법 /K battery revolution ","박순혁 지음","지와인","2023","","9791191521221","159",
"5","하얼빈 :김훈 장편소설 ","지은이: 김훈","문학동네","2022","","9788954699914","158",
"6","불편한 편의점 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2021","","9791161571188","149",
"7","불편한 편의점 :김호연 장편소설","지은이: 김호연","나무옆의자","2022","2","9791161571379","125",
"8","희망의 끈","히가시노 게이고 (지은이), 김난주 (옮긴이)","재인","2022","","9791192483146","114",
"9","거인의 어깨 =홍진채 해설로 통찰하는 주식 대가들의 투자법.Shoulders of giants ","홍진채 지음","콘텐츠그룹 포레스트","2022","1","9791192625133","109",
"10","브라질에 비가 내리면 스타벅스 주식을 사라 :경제의 큰 흐름에서 기회를 잡는 매크로 투자 가이드 ","피터 나바로 지음 ;이창식 옮김","에프엔미디어","2022","","9791188754588","102",
"10","주식시세의 비밀 ","정재호 지음","프런트페이지","2023","","9791197871269","102",
"12","챗GPT :2023 전 세계를 뒤흔든 빅이슈의 탄생 ","반병현 지음","생능출판사","2023","","9791192932057","101",
"13","(사이토 히토리의) 1퍼센트 부자의 법칙 ","사이토 히토리 [지음] ;김진아 옮김","나비스쿨","2023","","9791197389450","98",
"13","거인의 노트 :인생에서 무엇을 보고 어떻게 기록할 것인가 ","김익한 지음","다산북스","2023","","9791130697529","98",
"13","세이노의 가르침","세이노 (지은이)","데이원","2023","","9791168473690","98",
"16","사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ","지은이: 유발 하라리 ;옮긴이: 조현욱","김영사","2015","","9788934972464","95",
"17","배터리 전쟁 :리튬부터 2차 전지까지, 누가 새로운 경제 영토를 차지할 것인가 ","루카스 베드나르스키 지음 ;안혜림 옮김","위즈덤하우스","2023","","9791168125353","93",
"17","역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 ","자청 지음","웅진씽크빅","2022","","9788901260716","93",
"19","(이론과 실전을 모두 담아 새로 쓴) 한국형 가치투자 ","최준철,김민국 지음","이콘(이콘출판)","2023","","9791189318413","91",
"20","죽음의 역사 :죽음은 어떻게 우리의 세상을 변화시켰는가? ","앤드루 도이그 지음 ;석혜미 옮김","로크미디어","2023","","9791140806409","90",
"21","사장학개론 ","지은이: 김승호","스노우폭스북스","2023","","9791188331888","87",
"21","작별인사 :김영하 장편소설 ","지은이: 김영하","복복서가","2022","","9791191114225","87",
"23","거인의 어깨 =홍진채 해설로 통찰하는 주식 대가들의 투자법.Shoulders of giants ","홍진채 지음","콘텐츠그룹 포레스트","2022","2","9791192625140","86",
"24","초수익 성장주 투자 :세계에서 가장 비밀스러운 주식 투자 시스템 ","마크 미너비니 지음 ;김태훈 옮김","이레미디어","2023","","9791191328790","85",
"25","오십에 읽는 순자 :새로운 삶을 시작하기 위한 철학 수업 ","최종엽 지음","유노콘텐츠그룹","2023","","9791192300528","83",
"26","돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ","지은이: 김승호","Snowfox(스노우폭스북스)","2020","","9791188331796","82",
"26","모든 삶은 흐른다 :삶의 지표가 필요한 당신에게 바다가 건네는 말 ","로랑스 드빌레르 지음 ;이주영 옮김","Fika(피카)","2023","","9791190299770","82",
"26","표류하는 세계 - 미국의 100개 팩트로 보는 새로운 부의 질서와 기회","스콧 갤러웨이 (지은이), 이상미 (옮긴이)","리더스북","2023","","9788901270234","82",
"29","(박병창의 돈을 부르는) 매매의 기술 ","박병창 지음","콘텐츠그룹 포레스트","2021","","9791191347180","81",
"29","정세현의 통찰 :국제질서에서 시대의 해답을 찾다 ","정세현 지음","푸른숲","2023","","9791156754039","81",
"31","2023 대한민국 산업지도 :투자자를 위한 업종별 투자 가이드 ","이래학 지음","사이다경제","2023","","9791192445199","77",
"32","(경제파국으로 치닫는) 금융위기 ","최용식 지음","새빛북스","2023","","9791191517385","76",
"32","고통의 비밀 :통증에 관한 오해와 진실 ","몬티 라이먼 지음 ;박선영 옮김","상상스퀘어","2022","","9791192389059","76",
"32","파친코 :이민진 장편소설","이민진 지음 ;이미정 옮김","문학사상","2018","2","9788970129822","76",
"35","(대한민국 최고 투자자 주식농부의) 주식투자 절대 원칙 ","박영옥 지음","센시오","2021","","9791166570421","75",
"35","고래:천명관 장편소설","천명관 지음","문학동네","2004","","9788982819278","75",
"35","나의 투자는 새벽 4시에 시작된다 :3년 만에 300억으로 돌아온 유목민의 투자 인사이트 ","유목민 지음","웅진씽크빅","2022","","9788901259703","75",
"35","무조건 합격하는 암기의 기술 :26살 9개월 만에 사법시험을 패스한 이윤규 변호사의 책 한 권 통째로 씹어먹는 공부법 ","이윤규 지음","길벗","2023","","9791140702725","75",
"39","챗GPT에게 묻는 인류의 미래 :김대식 교수와 생성인공지능의 대화 ","지은이: 김대식,추서연","동아시아","2023","","9788962624847","74",
"40","나는 주식 대신 달러를 산다 :성공률 100% 투자자의 기발한 파이프라인 ","박성현 지음","RHK(알에이치코리아)","2021","","9788925588636","73",
"40","돈의 심리학 :당신은 왜 부자가 되지 못했는가 ","모건 하우절 지음 ;이지연 옮김","인플루엔셜","2021","","9791191056372","73",
"42","방주 :유키 하루오 장편소설 ","지은이: 유키 하루오 ;옮긴이: 김은모","블루홀6(블루홀식스)","2023","","9791189571894","72",
"42","어서오세요, 휴남동 서점입니다 :황보름 장편소설 ","지은이: 황보름","클레이하우스","2022","","9791197377143","72",
"42","총, 균, 쇠 ","재레드 다이아몬드 지음 ;김진준 옮김","문학사상","2013","","9788970128856","72",
"45","(바로 써먹는) 최강의 반도체 투자 :한발 앞서 읽는 반도체 슈퍼사이클의 모든 것 ","지은이: 이형수 ;일러스트: 김성규","헤리티지북스","2023","","9791198063694","71",
"45","밝은 밤 :최은영 장편소설 ","지은이: 최은영","문학동네","2021","","9788954681179","71",
"45","블랙 쇼맨과 환상의 여자","히가시노 게이고 (지은이), 최고은 (옮긴이)","알에이치코리아(RHK)","2023","","9788925576633","71",
"45","한국형 탑다운 투자 전략 :이베스트 리서치의 주식 투자 레벨 업 프로젝트 ","윤지호,최진영 지음","에프엔미디어","2023","","9791188754779","71",
"49","머니 트렌드 2023 :45가지 키워드로 전망하는 대한민국 돈의 흐름 ","지은이: 정태익,홍춘욱","북로망스","2022","","9791191891232","70",
"49","세상은 실제로 어떻게 돌아가는가 :우리의 문명을 정확하게 이해하기 위한 과학적 접근 ","지은이: 바츨라프 스밀 ;옮긴이: 강주헌","김영사","2023","","9788934950967","70",
