제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"49","(효기심의) 권력으로 읽는 세계사 :세상을 움직이는 힘을 이해하는 가장 솔직한 안내서","효기심 지음","다산북스","2023","","9791130642147","56",
"49","작은 땅의 야수들 :김주혜 장편소설 ","지은이: 김주혜 ;옮긴이: 박소현","다산북스","2022","","9791130693927","56",
"49","주식시세의 비밀 ","정재호 지음","프런트페이지","2023","","9791197871269","56",
"49","폭풍의 시대 :이원호 장편소설 ","이원호 지음","한결미디어","2023","1","9791159161711","56",
"54","(趙廷來 大河小說) 太白山脈","趙廷來","해냄출판사","2007","5","9788973377985","55",
"54","세상은 실제로 어떻게 돌아가는가 :우리의 문명을 정확하게 이해하기 위한 과학적 접근 ","지은이: 바츨라프 스밀 ;옮긴이: 강주헌","김영사","2023","","9788934950967","55",
"54","정기룡 :하용준 역사소설 ","지은이: 하용준","은행나무","2022","2","9791167372352","55",
"54","토지 :박경리 대하소설","지은이: 박경리","마로니에북스","2012","1","9788960532410","55",
"54","퍼핏 쇼","M. W. 크레이븐 (지은이), 김해온 (옮긴이)","위즈덤하우스","2023","","9791168126121","55",
"59","(趙廷來 大河小說) 太白山脈","趙廷來","해냄출판사","2007","3","9788973377961","54",
"59","붉은 바람 :이원호 장편소설 ","지은이: 이원호","한결미디어","2022","2","9791159161681","54",
"59","아주 세속적인 지혜 - 400년 동안 사랑받은 인생의 고전","발타자르 그라시안 (지은이), 강정선 (옮긴이)","페이지2(page2)","2023","","9791169850179","54",
"59","이토록 굉장한 세계 - 경이로운 동물의 감각, 우리 주위의 숨겨진 세계를 드러내다","에드 용 (지은이), 양병찬 (옮긴이)","어크로스","2023","","9791167740946","54",
"59","저만치 혼자서 :김훈 소설 ","지은이: 김훈","문학동네","2022","","9788954686921","54",
"59","파친코 :이민진 장편소설 ","지은이: 이민진 ;옮긴이: 신승미","인플루엔셜","2022","2","9791168340541","54",
"65","70세가 노화의 갈림길 :젊음을 지속하는 사람, 단번에 늙어버리는 사람의 차이 ","와다 히데키 지음 ;이주관 옮김","청홍","2022","","9788965020004","53",
"65","백년허리 :백년 동안 간직할 허리 사용설명서 ","저자: 정선근","언탱글링","2021","2","9791197437311","53",
"65","세계화의 종말과 새로운 시작 - 2세기에 걸쳐 진화한 세계화의 과거, 현재, 미래","마크 레빈슨 (지은이), 최준영 (옮긴이)","페이지2(page2)","2023","","9791169850193","53",
"65","외사랑 ","저자: 히가시노 게이고 ;옮긴이: 민경욱","소미미디어","2022","","9791138413251","53",
"65","이어령의 마지막 수업 ","김지수 지음","열림원","2021","","9791170400523","53",
"65","정글만리 :조정래 장편소설","저자: 조정래","해냄출판사","2013","2","9788965744030","53",
"65","직지 :김진명 장편소설 ","지은이: 김진명","쌤앤파커스","2019","1","9788965708322","53",
"65","표류하는 세계 - 미국의 100개 팩트로 보는 새로운 부의 질서와 기회","스콧 갤러웨이 (지은이), 이상미 (옮긴이)","리더스북","2023","","9788901270234","53",
"73","(경제파국으로 치닫는) 금융위기 ","최용식 지음","새빛북스","2023","","9791191517385","52",
"73","토지 :박경리 대하소설","지은이: 박경리","마로니에북스","2012","2","9788960532427","52",
"73","홈 스위트 홈 외 5편 ","지은이: 최진영,최은미","문학사상","2023","","9788970125640","52",
"76","(趙廷來 大河小說) 아리랑","趙廷來","해냄출판사","2007","2","9788973378067","51",
"76","(趙廷來 大河小說) 아리랑","趙廷來","해냄출판사","2007","1","9788973378050","51",
"76","바이러스 X :김진명 장편소설 ","지은이: 김진명","이타북스","2020","","9791190991070","51",
"76","배터리 전쟁 :리튬부터 2차 전지까지, 누가 새로운 경제 영토를 차지할 것인가 ","루카스 베드나르스키 지음 ;안혜림 옮김","위즈덤하우스","2023","","9791168125353","51",
"76","오십에 읽는 순자 :새로운 삶을 시작하기 위한 철학 수업 ","최종엽 지음","유노콘텐츠그룹","2023","","9791192300528","51",
"81","고구려 :김진명 역사소설","지은이: 김진명","이타(이타북스)","2021","7","9791197063275","50",
"81","복수 법률 사무소 :도진기 장편소설 ","지은이: 도진기","황금가지","2022","1","9791170521983","50",
"81","붉은 바람 :이원호 장편소설 ","지은이: 이원호","한결미디어","2022","1","9791159161674","50",
"81","붉은 바람 :이원호 장편소설 ","지은이: 이원호","한결미디어","2022","3","9791159161698","50",
"81","조선 미술관 :풍속화와 궁중기록화로 만나는 문화 절정기 조선의 특별한 순간들 ","탁현규 지음","백도씨","2023","","9788968334177","50",
"81","호모 데우스 :미래의 역사 ","지은이: 유발 하라리 ;옮긴이: 김명주","김영사","2017","","9788934977841","50",
"87","객주 :김주영 장편소설","지은이: 김주영","문학동네","2013","1","9788954621083","49",
"87","복수 법률 사무소 :도진기 장편소설 ","지은이: 도진기","황금가지","2022","2","9791170521990","49",
"87","정글만리 :조정래 장편소설","저자: 조정래","해냄출판사","2013","3","9788965744047","49",
"87","한강:趙廷來 大河小說","趙廷來","해냄출판사","2007","5","9788973378357","49",
"91","(趙廷來 大河小說) 太白山脈","趙廷來","해냄출판사","2007","4","9788973377978","48",
"91","(이론과 실전을 모두 담아 새로 쓴) 한국형 가치투자 ","최준철,김민국 지음","이콘(이콘출판)","2023","","9791189318413","48",
"91","블랙 쇼맨과 환상의 여자","히가시노 게이고 (지은이), 최고은 (옮긴이)","알에이치코리아(RHK)","2023","","9788925576633","48",
"91","이토록 평범한 미래 :김연수 소설 ","지은이: 김연수","문학동네","2022","","9788954680004","48",
"91","조국의 법고전 산책 :열다섯 권의 고전, 그 사상가들을 만나다 ","조국 지음","오마이북","2022","","9788997780518","48",
"91","폭풍의 시대 :이원호 장편소설 ","이원호 지음","한결미디어","2023","3","9791159161735","48",
"97","(趙廷來 大河小說) 太白山脈","趙廷來","해냄출판사","2007","6","9788973377992","47",
"97","빨치산의 딸:정지아 장편소설","정지아 지음","필맥","2005","2","9788991071124","47",
"97","작별인사 :김영하 장편소설 ","지은이: 김영하","복복서가","2022","","9791191114225","47",
"97","재벌집 막내아들 2","산경 (지은이)","테라코타","2022","","9791197915970","47",
"97","조선 왕들은 왜? - 조선 왕들의 뜻밖의 행동 뒤에 숨겨진 의문과 진실","박영규 (지은이)","옥당북스","2023","","9791189936389","47",
"102","(사이토 히토리의) 1퍼센트 부자의 법칙 ","사이토 히토리 [지음] ;김진아 옮김","나비스쿨","2023","","9791197389450","46",
"102","객주 :김주영 장편소설","지은이: 김주영","문학동네","2013","2","9788954621090","46",
"102","재벌집 막내아들 3","산경 (지은이)","테라코타","2022","","9791197915963","46",
"102","폭풍의 시대 :이원호 장편소설 ","이원호 지음","한결미디어","2023","2","9791159161728","46",
"106","내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong ","비욘 나티코 린데블라드 지음 ;박미경 옮김","다산북스","2022","","9791130689890","45",
