제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"1","12가지 인생의 법칙 :혼돈의 해독제 ","조던 B. 피터슨 지음 ;강주헌 옮김","메이븐","2018","","9791196067694","101",
"2","부자 아빠 가난한 아빠 :20주년 특별 기념판 ","지은이: 로버트 기요사키 ;옮긴이: 안진환","민음인","2018","","9791158883591","84",
"2","불편한 편의점 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2021","","9791161571188","84",
"4","사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ","지은이: 유발 하라리 ;옮긴이: 조현욱","김영사","2015","","9788934972464","81",
"5","지적 대화를 위한 넓고 얕은 지식 0 :지혜를 찾아 138억 년을 달리는 시간 여행서 ","채사장 지음","Whale Books(웨일북)","2019","","9791190313131","79",
"6","언스크립티드 :부의 추월차선 완결판 ","엠제이 드마코 지음 ;안시열 옮김","토트","2018","","9791187444213","74",
"7","나미야 잡화점의 기적 :히가시노 게이고 장편소설 ","지은이: 히가시노 게이고 ;옮긴이: 양윤옥","현대문학","2012","","9788972756194","66",
"7","돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ","지은이: 김승호","Snowfox(스노우폭스북스)","2020","","9791188331796","66",
"7","아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ","제임스 클리어 지음 ;이한이 옮김","비즈니스북스","2019","","9791162540640","66",
"10","인스타 브레인 =몰입을 빼앗긴 시대, 똑똑한 뇌 사용법 /Insta brain ","안데르스 한센 지음 ;김아영 옮김","동양북스","2020","","9791157686179","65",
"10","타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략 ","팀 페리스 지음 ;정지현 옮김","Tornado(토네이도)","2017","","9791158510619","65",
"12","달러구트 꿈 백화점.이미예 장편소설 ","지은이: 이미예","팩토리나인","2020","1-2 :","9791165341909","63",
"12","오늘 밤, 세계에서 이 사랑이 사라진다 해도 ","이치조 미사키 지음 ;권영주 옮김","바이포엠","2021","","9791191043297","63",
"14","공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가 ","마이클 샌델 지음 ;함규진 옮김","미래엔","2020","","9791164136452","60",
"14","역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 ","자청 지음","웅진씽크빅","2022","","9788901260716","60",
"16","트렌드 코리아 2023 :더 높은 도약을 준비하는 검은 토끼의 해 ","지은이: 김난도,추예린","미래의창","2022","","9788959897094","54",
"17","원씽 :복잡한 세상을 이기는 단순함의 힘 ","게리 켈러,구세희 옮김","비즈니스북스","2013","","9788997575169","51",
"18","어느 날, 내 죽음에 네가 들어왔다 ","세이카 료겐 지음 ;김윤경 옮김","바이포엠 스튜디오","2022","","9791191043723","49",
"18","팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유 ","지은이: 한스 로슬링,옮긴이: 이창신","김영사","2019","","9788934985068","49",
"20","부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법 ","엠제이 드마코 지음 ;신소영 옮김","북새통","2013","","9788994702346","48",
"20","지적 대화를 위한 넓고 얕은 지식","채사장 지음","한빛비즈","2015","","9788994120997","48",
"20","지적 대화를 위한 넓고 얕은 지식 1 - 현실 편 : 역사 / 경제 / 정치 / 사회 / 윤리","채사장 (지은이)","웨일북","2020","","9791190313186","48",
"20","하얼빈 :김훈 장편소설 ","지은이: 김훈","문학동네","2022","","9788954699914","48",
"24","나는 4시간만 일한다 :디지털 노마드 시대 완전히 새로운 삶의 방식 ","팀 페리스 지음 ;윤동준 옮김","빛과향기","2017","","9791185584454","46",
"24","달러구트 꿈 백화점.이미예 장편소설 ","지은이: 이미예","팩토리나인","2020","2","9791165343729","46",
"24","데일 카네기 인간관계론 ","데일 카네기 지음 ;임상훈 옮김","현대지성","2019","","9791187142560","46",
"24","도파민네이션 :쾌락 과잉 시대에서 균형 찾기 ","애나 렘키 지음 ;김두완 옮김","흐름출판","2022","","9788965965046","46",
"24","질서 너머 :인생의 다음 단계로 나아가는 12가지 법칙 ","조던 피터슨 지음 ;김한영 옮김","웅진씽크빅","2021","","9788901249599","46",
"29","지적 대화를 위한 넓고 얕은 지식","채사장 지음","한빛비즈","2014","","9788994120966","45",
"30","넛지 :파이널 에디션 ","리처드 탈러,이경식 옮김","웅진씽크빅","2022","","9788901260679","44",
"30","불편한 편의점 :김호연 장편소설","지은이: 김호연","나무옆의자","2022","2","9791161571379","44",
"32","구의 증명 :최진영 소설 ","지은이: 최진영","은행나무","2015","","9788956608556","43",
"32","미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 ","기시미 이치로,전경아 옮김","인플루엔셜","2014","","9788996991342","43",
