title,author,genre_1,genre_2,brank,rate,count,isbn
운동의 역설,허먼 폰처,"과학, 건강, ","교양과학, 교양생물, 다이어트, 다이어트일반, ",330,9.43,14.0,9788990247834
"기억하는 뇌, 망각하는 뇌",이인아,"과학, ","교양과학, 뇌과학, ",331,9.81,32.0,9788950911799
원소 이야기,팀 제임스,"과학, ","교양과학, 과학이야기, ",332,9.72,15.0,9791157845903
수학으로 생각하기,스즈키 간타로,"과학, ","교양과학, 교양수학/수학이야기, ",333,9.32,19.0,9791191347906
신약개발 전쟁,이성규,"과학, ","생물학, 생물과학, ",334,8.85,7.0,9791188569366
신비롭지 않은 여자들,임소연,"과학, 인문, ","교양과학, 과학이야기, 인문학일반, 인문교양, ",335,9.5,15.0,9788937492075
정원을 가꾸고 있습니다,시몽 위로,"과학, ","교양과학, 교양식물, ",336,9.78,39.0,9788934961758
통계학대백과 사전,이시이 도시아키,"과학, ","교양과학, 교양수학/수학이야기, ",338,9.88,20.0,9791157687947
미분적분학: 기초부터 응용까지,수학교재편찬위원회,"과학, 과학, 대학교재, ","수학, 미분적분학, 대학교재, 수학, 자연과학, 수학, ",339,0.0,,9791156645955
비전공자도 이해할 수 있는 AI 지식,박상길,"과학, 컴퓨터/IT, ","교양과학, 과학이야기, 컴퓨터공학, 인공지능, ",340,9.63,88.0,9791167960221
감각 착각 환각,최낙언,"과학, ","교양과학, 뇌과학, ",341,10.0,2.0,9788970016238
호모 심비우스(리커버),최재천,"과학, ","교양과학, 교양유전, ",342,7.5,1.0,9791190944595
"새빨간 거짓말, 통계",대럴 허프,"과학, ","수학, 통계, ",343,10.0,11.0,9788958612131
배터리의 미래,M. 스탠리 위팅엄 외,"과학, 기술/공학, ","교양과학, 과학이야기, 공학일반, 기술공학일반, ",344,7.86,8.0,9791190944571
"뇌를 읽다, 마음을 읽다",권준수,"과학, ","교양과학, 뇌과학, ",345,9.61,40.0,9788950998608
수학을 읽어드립니다,남호성,"과학, ","교양과학, 교양수학/수학이야기, ",346,7.81,19.0,9788947547765
원소,필립 볼,"과학, ","교양과학, 교양화학, ",347,10.0,12.0,9791160807103
만화로 쉽게 배우는 물리수학,밤바 아야,"과학, ","교양과학, 교양수학/수학이야기, ",348,10.0,3.0,9788931557824
동물과의 대화,템플 그랜딘 외,"과학, 인문, ","교양과학, 교양동물, 인문학일반, 인문교양, ",349,9.89,18.0,9791197072949
기후의 힘,박정재,"과학, ","지구과학, 기상학/기후학, ",350,9.67,25.0,9791166890499
우연과 필연,자크 모노,"과학, ","교양과학, 교양생물, ",251,10.0,6.0,9788958207450
코드 브레이커,월터 아이작슨,"과학, ","교양과학, 교양생명과학, ",252,9.73,41.0,9788901256603
