title,author,genre_1,genre_2,brank,rate,count,isbn
개발자에게 물어보세요,제프 로슨,"경제/경영, 경제/경영, 컴퓨터/IT, ","경영전략, IT/디지털경영, 경영관리, 조직관리, 개발방법론, 개발방법론일반, ",767,10.0,2.0,9788966263905
세상 친절한 경제상식,토리텔러,"경제/경영, ","경제일반, 경제상식/경제이야기, ",768,10.0,2.0,9791192519494
부가가치세 실무(2023),박병완,"경제/경영, 경제/경영, 대학교재, ","세무/회계, 부가가치세, 대학교재, 경제/경영, ",769,2.5,1.0,9788992145862
지주회사와 법(하),노혁준 외,"경제/경영, 경제/경영, 대학교재, ","경영관리, 경영관리/기업경영, 대학교재, 경제/경영, ",770,7.5,1.0,9788984105126
부동산 창업을 위한 중개실무 바이블,김진희 외,"경제/경영, ","재테크/금융, 부동산, ",771,9.55,19.0,9791164845354
실전 투자강의 (22주년 기념 양장 특별판),앙드레 코스톨라니,"경제/경영, ","재테크/금융, 주식/증권, ",772,10.0,1.0,9791192519425
입찰은 어렵지만 낙찰은 쉽다(2023),원용춘 외,"경제/경영, ","재테크/금융, 부동산, ",773,10.0,2.0,9788995114155
체인지업 4.0,카이정,"경제/경영, ","마케팅/광고/고객, 마케팅전략, ",774,10.0,23.0,9791169580373
양도소득세(2023),안수남 외,"경제/경영, 경제/경영, 대학교재, ","세무/회계, 양도/소득/재산세, 대학교재, 경제/경영, ",775,10.0,1.0,9788964771365
인사노무 잘하는 담당자의 비밀파일,김우탁,"경제/경영, 경제/경영, 대학교재, ","경영관리, 인사/총무/임금, 대학교재, 경제/경영, ",776,10.0,14.0,9791192624914
예산회계실무 기본서(2023),강인옥 외,"경제/경영, 경제/경영, 대학교재, ","세무/회계, 재정/예산/결산, 대학교재, 경제/경영, ",777,0.0,,9788970931951
직업소개소 창업가이드,이효상,"경제/경영, ","유통/창업, 창업, ",778,10.0,1.0,9791185390215
팀장의 끗,고태현 외,"경제/경영, 자기계발, ","경영관리, 조직관리, 비즈니스능력계발, 대리/과장/팀장, ",779,10.0,4.0,9791192381336
사례를 통해 보는 K-IFRS 회계원리,박성욱 외,"경제/경영, 경제/경영, 대학교재, ","세무/회계, 회계이론/회계원리, 대학교재, 경제/경영, ",780,0.0,,9791167841216
실전 보험과세금(2023),정성진,"경제/경영, 경제/경영, 대학교재, ","재테크/금융, 보험, 대학교재, 경제/경영, ",781,10.0,1.0,9791198158826
저는 부동산경매가 처음인데요,신정헌,"경제/경영, ","재테크/금융, 부동산, ",782,7.5,5.0,9791157846443
나는 경매로 1년 만에 인생을 역전했다,구범준,"경제/경영, ","재테크/금융, 부동산, ",783,9.8,69.0,9791140703128
상가 오피스텔 투자와 임대차 상식 Q&A,김동희,"경제/경영, ","재테크/금융, 부동산, ",784,10.0,1.0,9791188541386
