title,author,genre_1,genre_2,brank,rate,count,isbn
‘좋아요’는 어떻게 지구를 파괴하는가,기욤 피트롱,"정치/사회, ","사회문제/복지, 사회문제, ",65,9.79,11.0,9791187038924
생활법률 상식사전,김용국,"정치/사회, ","법학, 법학일반, ",66,10.0,4.0,9791168126039
가불 선진국,조국,"정치/사회, ","사회학, 사회학일반, ",67,9.62,380.0,9791157062560
사회적응 거부선언,이하루,"정치/사회, 정치/사회, 여행, ","사회문제/복지, 사회문제, 사회문제/복지, 사회문제, 여행에세이, ",68,0.0,,9791197912634
우리를 배반한 근대,엄창호,"정치/사회, ","사회학, 사회학일반, ",69,10.0,5.0,9791187700494
"세탁비는 이야기로 받습니다, 산복빨래방",김준용 외,"정치/사회, 정치/사회, ","언론/신문/방송, 언론일반, 언론/신문/방송, 언론이론, ",70,0.0,,9791193027066
우리가 살에 관해 말하지 않는 것들,오브리 고든,"정치/사회, 시/에세이, ","사회문제/복지, 사회문제, 나라별 에세이, 영미에세이, ",71,0.0,,9788972970903
카플란의 현명한 정치가,로버트 D. 카플란,"정치/사회, ","정치/외교, 정치일반, ",72,10.0,1.0,9791190498494
자본주의 세미나,김규항,"정치/사회, 경제/경영, ","사회학, 사회사상, 경제이론, 자본론, ",73,10.0,3.0,9788934965893
2023 선사기 민법 통합기본강의 노트필기,정연석 민사법 연구회,"정치/사회, ","법학, 민법, ",74,10.0,6.0,9791168581326
기후 종말론: 인류사 최대 사기극을 폭로한다,박석순 외,"정치/사회, ","사회문제/복지, 사회문제, ",75,10.0,5.0,9791169050128
사례형사소송법,이창현,"정치/사회, 정치/사회, 대학교재, ","법학, 소송/판례, 대학교재, 법학, 정치/사회/법, 법학, ",76,9.71,10.0,9791168581203
눈에 보이지 않는 지도책,제임스 체셔 외,"정치/사회, 정치/사회, ","사회문제/복지, 사회문제, 사회문제/복지, 사회문제, ",77,9.61,148.0,9791155815380
못다 이룬 귀향의 꿈,이희철,"정치/사회, ","국방/군사, 전쟁/전쟁사, ",78,0.0,,9788993297256
법률문장 어떻게 쓸 것인가,법무법인 화우,"정치/사회, ","법학, 법학일반, ",79,9.8,14.0,9791130338361
국가는 왜 실패하는가,대런 애쓰모글루 외,"정치/사회, ","정치/외교, 정치일반, ",80,9.65,129.0,9788952766984
파괴할 수 없는 것,권윤지,"정치/사회, ","사회학, 여성학/남성학, ",81,10.0,1.0,9791198087409
우리는 출근하지 않는다,앤 헬렌 피터슨 외,"정치/사회, ","사회문제/복지, 노동문제, ",82,0.0,,9791192908779
악마는 잠들지 않는다,줄리엣 카이엠,"정치/사회, ","사회학, 사회학일반, ",83,0.0,,9788937427947
어떻게 민주당은 무너지는가,조기숙,"정치/사회, ","정치/외교, 정치일반, ",84,10.0,5.0,9791198180322
박정희의 시간들,오인환,"정치/사회, 시/에세이, ","정치/외교, 정치가, 인물/자전적에세이, 정치가/법조인, ",85,10.0,1.0,9788930041423
논점민법강의: 재산법(2023),송영곤,"정치/사회, ","법학, 상법, ",86,10.0,2.0,9791156937814
사회학: 비판적 시선,정태석 외,"정치/사회, ","사회학, 사회학이론, ",87,10.0,2.0,9788946074293
좌파의 길,낸시 프레이저,"정치/사회, 경제/경영, 역사/문화, ","사회학, 사회사상, 각국경제, 세계경제사, 세계사, 교양세계사, ",88,9.91,17.0,9791192085913
국제개발협력: 입문편,KOICA ODA 교육원,"정치/사회, ","정치/외교, 외교/국제관계, ",89,10.0,1.0,9791159292279
회복력 시대,제러미 리프킨,"정치/사회, ","사회학, 사회학일반, ",90,9.47,58.0,9788937427367
비교정치,신명순 외,"정치/사회, 정치/사회, 대학교재, ","정치/외교, 정치이론, 대학교재, 정치학, 정치/사회/법, 정치학, ",91,10.0,5.0,9791130316079
선택할 자유,밀턴 프리드먼 외,"정치/사회, ","사회학, 사회사상, ",92,9.53,25.0,9788984292482
법철학: 이론과 쟁점,김정오 외,"정치/사회, 정치/사회, 대학교재, ","법학, 법학일반, 대학교재, 법학, 정치/사회/법, 법학, ",93,9.55,11.0,9791130340708
요즘 애들,앤 헬렌 피터슨,"정치/사회, ","사회학, 사회학일반, ",94,9.81,56.0,9788925579313
법률가의 글쓰기,김범진,"정치/사회, ","법학, 법학일반, ",95,9.81,16.0,9791130338965
악의 마음을 읽는 자들,권일용 외,"정치/사회, ","사회문제/복지, 사회문제, ",96,9.63,76.0,9791159922251
실격당한 자들을 위한 변론,김원영,"정치/사회, ","사회학, 사회학일반, ",97,9.56,181.0,9791160943733
프로테스탄트 윤리와 자본주의 정신(완역본),막스 베버,"정치/사회, ","정치/외교, 정치일반, ",98,9.64,90.0,9791187142454
나는 왜 쓰는가,조지 오웰,"정치/사회, ","정치/외교, 정치일반, ",100,9.75,97.0,9788984314238
노회찬 평전,이광호,"정치/사회, 시/에세이, 정치/사회, ","정치/외교, 정치가, 인물/자전적에세이, 정치가/법조인, 사회문제/복지, 노동문제, ",1,10.0,2.0,9791167071101
공자가 죽어야 나라가 산다,김경일,"정치/사회, ","사회학, 사회학일반, ",2,10.0,9.0,9791166891533
중국은 어떻게 실패하는가,마이클 베클리 외,"정치/사회, 정치/사회, 정치/사회, ","정치/외교, 각국정치, 정치/외교, 각국정치, 정치/외교, 외교/국제관계, ",3,9.63,33.0,9788960519695
숫자 사회,임의진,"정치/사회, ","사회학, 사회학일반, ",4,10.0,3.0,9791192097503
리지웨이의 한국전쟁,매슈 B. 리지웨이,"정치/사회, ","국방/군사, 한국전쟁, ",5,0.0,,9791187822769
빈 살만의 두 얼굴,브래들리 호프 외,"정치/사회, 시/에세이, ","정치/외교, 정치가, 인물/자전적에세이, 정치가/법조인, ",6,7.0,3.0,9791192385143
아무도 행복하지 않은 나라,김성회 외,"정치/사회, ","정치/외교, 각국정치, ",7,9.43,23.0,9791157062874
평화의 힘,최종건,"정치/사회, ","정치/외교, 각국정치, ",8,7.5,1.0,9791157062942
지리의 힘,팀 마샬,"정치/사회, 경제/경영, ","사회학, 사회학일반, 경제이론, 세계경제/국제경제, ",9,9.36,768.0,9788993178692
지리의 힘 2,팀 마샬,"정치/사회, ","사회학, 사회학일반, ",10,9.77,144.0,9788993178982
더티 워크,이얼 프레스,"정치/사회, ","사회문제/복지, 노동문제, ",11,10.0,8.0,9791160409963
"둔촌주공아파트, 대단지의 생애",이인규,"정치/사회, ","사회학, 각국사회/문화, ",12,10.0,1.0,9791190853446
이미 시작된 전쟁,이철,"정치/사회, 정치/사회, ","정치/외교, 외교/국제관계, 정치/외교, 각국정치, ",13,9.17,22.0,9791169850209
공생의 기술,일지 이승헌 외,"정치/사회, ","사회학, 사회학일반, ",14,9.74,18.0,9788956994451
형법요론(2023),신호진,"정치/사회, 정치/사회, 대학교재, ","법학, 형법, 대학교재, 법학, 정치/사회/법, 법학, ",15,10.0,24.0,9791166871047
군중심리,귀스타브 르 봉,"정치/사회, 인문, 정치/사회, 대학교재, ","사회학, 사회학이론, 심리학, 발달단계별심리, 대학교재, 사회학, 정치/사회/법, 사회학, ",16,9.74,196.0,9791139700114
나는 그해 겨울 저들이 한 짓을 알고 있다,변희재,"정치/사회, 정치/사회, ","정치/외교, 정치일반, 정치/외교, 각국정치, ",17,9.82,47.0,9791192014074
대한민국 생존전략,이낙연,"정치/사회, ","정치/외교, 외교/국제관계, ",18,9.77,173.0,9788950960988
에이징 솔로,김희경,"정치/사회, ","사회학, 사회학일반, ",19,9.6,22.0,9788962624885
형사기록의 이해,박광서 외,"정치/사회, 정치/사회, 대학교재, ","법학, 소송/판례, 대학교재, 법학, 정치/사회/법, 법학, ",20,10.0,4.0,9791130341798
요즘 중국,곤도 다이스케,"정치/사회, ","사회학, 각국사회/문화, ",21,9.5,7.0,9788984078796
민주주의의 모험,신기욱,"정치/사회, ","사회학, 사회사상, ",22,10.0,2.0,9788959066926
음식 중독,마이클 모스,"정치/사회, ","사회문제/복지, 사회문제, ",23,9.81,40.0,9788937469268
